FoodClose-FoodClose,FoodClose-FoodClose,FoodClose-FoodClose,FoodClose-FoodClose,FoodFar-FoodFar,FoodFar-FoodFar,FoodFar-FoodFar,FoodFar-FoodFar,FoodPresenceHigh-FoodPresenceHigh,FoodPresenceHigh-FoodPresenceHigh,FoodPresenceHigh-FoodPresenceHigh,FoodPresenceHigh-FoodPresenceHigh,FoodPresenceLow-FoodPresenceLow,FoodPresenceLow-FoodPresenceLow,FoodPresenceLow-FoodPresenceLow,FoodPresenceLow-FoodPresenceLow,WaterClose-WaterClose,WaterClose-WaterClose,WaterClose-WaterClose,WaterClose-WaterClose,WaterFar-WaterFar,WaterFar-WaterFar,WaterFar-WaterFar,WaterFar-WaterFar,WaterPresenceHigh-WaterPresenceHigh,WaterPresenceHigh-WaterPresenceHigh,WaterPresenceHigh-WaterPresenceHigh,WaterPresenceHigh-WaterPresenceHigh,WaterPresenceLow-WaterPresenceLow,WaterPresenceLow-WaterPresenceLow,WaterPresenceLow-WaterPresenceLow,WaterPresenceLow-WaterPresenceLow,MateClose-MateClose,MateClose-MateClose,MateClose-MateClose,MateClose-MateClose,MateFar-MateFar,MateFar-MateFar,MateFar-MateFar,MateFar-MateFar,MatePresenceHigh-MatePresenceHigh,MatePresenceHigh-MatePresenceHigh,MatePresenceHigh-MatePresenceHigh,MatePresenceHigh-MatePresenceHigh,MatePresenceLow-MatePresenceLow,MatePresenceLow-MatePresenceLow,MatePresenceLow-MatePresenceLow,MatePresenceLow-MatePresenceLow,FoeClose-FoeClose,FoeClose-FoeClose,FoeClose-FoeClose,FoeClose-FoeClose,FoeFar-FoeFar,FoeFar-FoeFar,FoeFar-FoeFar,FoeFar-FoeFar,Fertile-Fertile,Fertile-Fertile,Fertile-Fertile,Fertile-Fertile,NotFertile-NotFertile,NotFertile-NotFertile,NotFertile-NotFertile,NotFertile-NotFertile,Hungry-Hungry,Hungry-Hungry,Hungry-Hungry,Hungry-Hungry,NotHungry-NotHungry,NotHungry-NotHungry,NotHungry-NotHungry,NotHungry-NotHungry,FoePresenceHigh-FoePresenceHigh,FoePresenceHigh-FoePresenceHigh,FoePresenceHigh-FoePresenceHigh,FoePresenceHigh-FoePresenceHigh,FoePresenceLow-FoePresenceLow,FoePresenceLow-FoePresenceLow,FoePresenceLow-FoePresenceLow,FoePresenceLow-FoePresenceLow,Thirsty-Thirsty,Thirsty-Thirsty,Thirsty-Thirsty,Thirsty-Thirsty,NotThirsty-NotThirsty,NotThirsty-NotThirsty,NotThirsty-NotThirsty,NotThirsty-NotThirsty,Fear-Fear,Fear-Fear,Fear-Fear,Fear-Fear,pHeat-pHeat,pHeat-pHeat,pHeat-pHeat,pHeat-pHeat,pHunger-pHunger,pHunger-pHunger,pHunger-pHunger,pHunger-pHunger,pThirst-pThirst,pThirst-pThirst,pThirst-pThirst,pThirst-pThirst,pFear-pFear,pFear-pFear,pFear-pFear,pFear-pFear,pHeat-pHeat,pHeat-pHeat,pHeat-pHeat,pHeat-pHeat,pHeat-pHeat,pHunger-pHunger,pHunger-pHunger,pHunger-pHunger,pHunger-pHunger,pHunger-pHunger,pThirst-pThirst,pThirst-pThirst,pThirst-pThirst,pThirst-pThirst,pThirst-pThirst,pFear-pFear,pFear-pFear,pFear-pFear,pFear-pFear,pFear-pFear
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0139001567140792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00359610678836352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939491981256959,0,0,0,0,0,0,0,0,-0.00514608657215296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102439949316441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162946622972404,0,0,0,0,0,0,0
-0.00790079607884572,-0.00442260238986853,0.0211541947932356,0,0,0.00406273957751831,0,0,0,-0.00890302850655056,0.0117616710657593,0,0,0,0,0,0,0,0,0,0.0111989757886001,-0.00340156639478897,0,-0.00312762239308313,0.00638038369485188,0,0,-0.00625390711531325,0,0,0,0,0.00367882213526241,0,0,0,0,0,0,-0.00453776558648579,-0.00589029444992089,0,0,0,0,0,0.00712457801239978,-0.00304285959015375,0,0,-0.00542933423712668,0,0,0,0,0,0,0,0,0,0,0,0,0.00707752692775054,0,0,0,0,0,0,0.00141113664130117,0,-0.00435438094566789,0,-0.00729350971471724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110203366900944,0,0.00358340566979819,0,0,0,-0.00988985825981365,0.00866799571139113,0,0,0,0,0,0,0,0,0.00442800325880368,0,0,0,0,0,0,0,0,-0.00971338402604269,0.0238355788277344,0,0,-0.013787791174588,0,0,0,-0.00762041782596555,0,0,-0.00129804127718136
-0.00790079607884572,-0.00442260238986853,0.0211541947932356,0,0,0.00406273957751831,0,0,0,-0.00890302850655056,0.0117616710657593,0,0,0,0,0,0,0,0,0,0.0111989757886001,-0.00340156639478897,0,-0.00312762239308313,0.00638038369485188,0,0,-0.00625390711531325,0,0,0,0,0.00367882213526241,0,0,0,0,0,0,-0.00453776558648579,-0.00589029444992089,0,0,0,0,0,0.00712457801239978,-0.00304285959015375,0,0,-0.00542933423712668,0,0,0,0,0,0,0,0,0,0,0,0,0.00707752692775054,0,0,0,0,0,0,0.00141113664130117,0,-0.00435438094566789,0,-0.00729350971471724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110203366900944,0,0.00358340566979819,0,0,0,-0.00988985825981365,0.00866799571139113,0,0,0,0,0,0,0,0,0.00442800325880368,0,0,0,0,0,0,0,0,-0.00971338402604269,0.0238355788277344,0,0,-0.013787791174588,0,0,0,-0.00762041782596555,0,0,-0.00129804127718136
-0.0089313346978256,0.000630981353056141,0.0239134375923533,0,0,0.00459266213110766,0,0,0,-0.0100642930943615,0,0,-0.0092832836102223,0,0,-0.00260866442409369,0,0,0,0,0,0,0,0.000531072220739192,0.00721260765504995,0,0,-0.0070696341303541,0,0,0,0,0.00415866850073142,0,0,0,-0.00494713328548194,-0.00618374665565464,0,0,-0.00665859372599753,0,0,-0.0117637537408247,0,-0.018315593996749,0,0,0,0,-0.00613750826805624,0,0,0,0,0,0,0,0,0,-0.012202042410296,0,0,-0.00264636588997845,0,0,-0.0126071855588091,-0.0123454593994524,0,0,0.00784006543440324,0,0,0,0,0,0,0,0.00667185086471384,0,0,0,0,0.0104031961498192,0,0.00479203930873532,0,0,0,0,0,0.00124577719105415,0,-0.00897983195271438,0,0,0,-0.00148753996367451,-0.00867950329837911,0,-0.00756014076675445,0,-0.0077765071278185,0,0,0.011072037739349,0,0,0,0,0,-0.0102844231338353,0,0,0,0,0,0.0115157495978605,0,-0.0135007138283495,0,0.0110273890495079,0,0,-0.00861438536848279,0,0,0
0,0.00647501166284365,0,0,0,0,0,0,0,0,0,0,-0.0106757761517556,0,0,-0.00299996408770775,0,0,0,0,0,0,0,0.00467664216485814,0,0,0,0,0,0,0,0,0,0,0,0,-0.00568920327830424,-0.00711130865400283,0,0,0,0,0,-0.0135283168019484,0,-0.0210629330962613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140323487718404,0,0,-0.00304332077347522,0,0,-0.0144982633926304,-0.0141972783093702,0,0,0.00901607524956372,0,0,0,0,0,0,0,0.00767262849442092,0,0,0,0,0.011963675572292,0,0.00551084520504561,0,0,0,0,0,0,0,-0.0149852341163592,0,0,0,0,-0.00998142879313598,0,-0.00869416188176762,0,-0.00894298319699127,0,0,0.0127328434002513,0,0,0,0,0,-0.0118270866039106,0,0,0,0,0,0,0,-0.0155258209026019,0,0.0126814974069341,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.0133447201896946,0,0,0,0,0,0,0,0,0,0,0.00584580270607268,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00888913581750354,0,0,0,0,0,0,0,-0.0155338218670549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175404359648005,0,0,-0.00380415096684403,0,0,-0.0181228292407881,-0.0177465978867128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014954594465365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108677023522095,0,-0.0111787289962391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194072761282524,0,0.0158518717586676,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
