Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,10,0,2.1,5,13,30,25,20,10,1,2,3,13,30,25
20,10,0,2.1,5,13,30,25,20,10,1,2,3,13,30,25
20,10,0,2.1,5,13,30,25,20,10,1,2,3,13,30,25
20,10,0,2.1,5,13,30,25,20,10,1,2,3,13,30,25
19,10,0,2.1,5,13,30,25,20,10,1,2,3,13,30,25
19,10,0,2.1,5,13,30,25,20,10,1,2,3,13,30,25
18,10,0,2.1,5,13,30,25,20,10,1,2,3,13,30,25
20,10.2865480537337,0,2.04574641995355,4.86359449013099,12.7968741371681,29.3776096948675,24.9744956750272,22,10.034381946921,1,1.97617697860329,3.03368359184699,12.8759533171002,30.1676227553374,25.1832190041153
21,10.3654759417415,0,2.03552025065055,4.85571034272406,12.7761629567029,29.7268794797349,24.6733873982299,22,10.034381946921,1,1.97617697860329,3.03368359184699,12.8759533171002,30.1676227553374,25.1832190041153
21,10.3654759417415,0,2.03552025065055,4.85571034272406,12.7761629567029,29.7268794797349,24.6733873982299,21,9.94821208184213,1,1.9804345681132,3.00121364847564,12.9425783706973,30.0693277913911,24.9316850562363
20,10.3837497388286,0,2.03229626318308,4.84849585986026,12.7649711045381,29.7132234537217,24.6570567681414,21,9.94821208184213,1,1.9804345681132,3.00121364847564,12.9425783706973,30.0693277913911,24.9316850562363
15,10.5116663184381,0,2.00972835091077,4.79799447981368,12.6866281393841,29.6176312716289,24.5427423575218,10,9.89124537186847,1,1.95891259303773,3.00254866179885,12.8794145784643,30.1455883619213,24.8565386180961
11,10.520996461334,0,2.00135712718827,4.75198998205635,12.6306802493966,28.8683812633954,24.9536285000494,6,9.83297614482462,1,1.90842582872789,3.01107128257025,12.9117442984067,30.7213561774203,26.1561817069286
11,10.520996461334,0,2.00135712718827,4.75198998205635,12.6306802493966,28.8683812633954,24.9536285000494,6,9.83297614482462,1,1.90842582872789,3.01107128257025,12.9117442984067,30.7213561774203,26.1561817069286
9,10,0,2.1,5,13,30,25,6,9.83297614482462,1,1.90842582872789,3.01107128257025,12.9117442984067,30.7213561774203,26.1561817069286
8,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
8,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
8,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
8,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
8,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
5,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
3,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
2,10,0,2.1,5,13,30,25,5,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
0,10,0,2.1,5,13,30,25,0,10,1,2,3,13,30,25
