Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-born children,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
40,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
40,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
40,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
29,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
3,0,3,0,2,10,13,30,20,17,0,3,1,2,8,13,30,20
3,0,3,0,2,10,13,30,20,8,0,3,1,2,8,13,30,20
0,0,3,0,2,10,13,30,20,0,0,3,1,2,8,13,30,20
40,0,3.02522177495392,0,2.01596807181494,9.95256227655306,13,29.935983890154,20.1764356234094,20,0,3,1,1.99608045842513,8.00602128911546,13.056855772733,30.3008920145475,20
40,0,3.02522177495392,0,2.01596807181494,9.95256227655306,13,29.935983890154,20.1764356234094,20,0,3,1,1.99608045842513,8.00602128911546,13.056855772733,30.3008920145475,20
38,0,3.02654923679359,0,2.01680849664731,9.95006555426638,13,29.9326146212147,20.185721708852,20,0,3,1,1.99608045842513,8.00602128911546,13.056855772733,30.3008920145475,20
6,0,3,0,2,9.60504977671494,13,29.0930071148601,20,2,0,3,1,2,8,13,30,20
5,0,3,0,2,9.52605973205793,13,30,20,2,0,3,1,2,8,13,30,20
0,0,3,0,2,9.52605973205793,13,30,20,1,0,3,1,2,8,13,30,20
0,0,3,0,2,9.52605973205793,13,30,20,1,0,3,1,2,8,13,30,20
40,0,3.05099848884588,0,1.98494672567839,9.70378733253621,12.9431346757954,29.9912729770763,20.0646985982416,20,0,3,1,2,7.9350659708404,13.0188971329781,30.2971047341325,20.2124925175647
40,0,3.05099848884588,0,1.98494672567839,9.70378733253621,12.9431346757954,29.9912729770763,20.0646985982416,20,0,3,1,2,7.9350659708404,13.0188971329781,30.2971047341325,20.2124925175647
40,0,3.05099848884588,0,1.98494672567839,9.70378733253621,12.9431346757954,29.9912729770763,20.0646985982416,20,0,3,1,2,7.9350659708404,13.0188971329781,30.2971047341325,20.2124925175647
40,0,3.05099848884588,0,1.98494672567839,9.70378733253621,12.9431346757954,29.9912729770763,20.0646985982416,20,0,3,1,2,7.9350659708404,13.0188971329781,30.2971047341325,20.2124925175647
