FoodClose-pHeat,FoodClose-pHunger,FoodClose-pThirst,FoodClose-pFear,FoodFar-pHeat,FoodFar-pHunger,FoodFar-pThirst,FoodFar-pFear,FoodPresenceHigh-pHeat,FoodPresenceHigh-pHunger,FoodPresenceHigh-pThirst,FoodPresenceHigh-pFear,FoodPresenceLow-pHeat,FoodPresenceLow-pHunger,FoodPresenceLow-pThirst,FoodPresenceLow-pFear,WaterClose-pHeat,WaterClose-pHunger,WaterClose-pThirst,WaterClose-pFear,WaterFar-pHeat,WaterFar-pHunger,WaterFar-pThirst,WaterFar-pFear,WaterPresenceHigh-pHeat,WaterPresenceHigh-pHunger,WaterPresenceHigh-pThirst,WaterPresenceHigh-pFear,WaterPresenceLow-pHeat,WaterPresenceLow-pHunger,WaterPresenceLow-pThirst,WaterPresenceLow-pFear,MateClose-pHeat,MateClose-pHunger,MateClose-pThirst,MateClose-pFear,MateFar-pHeat,MateFar-pHunger,MateFar-pThirst,MateFar-pFear,MatePresenceHigh-pHeat,MatePresenceHigh-pHunger,MatePresenceHigh-pThirst,MatePresenceHigh-pFear,MatePresenceLow-pHeat,MatePresenceLow-pHunger,MatePresenceLow-pThirst,MatePresenceLow-pFear,FoeClose-pHeat,FoeClose-pHunger,FoeClose-pThirst,FoeClose-pFear,FoeFar-pHeat,FoeFar-pHunger,FoeFar-pThirst,FoeFar-pFear,Fertile-pHeat,Fertile-pHunger,Fertile-pThirst,Fertile-pFear,NotFertile-pHeat,NotFertile-pHunger,NotFertile-pThirst,NotFertile-pFear,Hungry-pHeat,Hungry-pHunger,Hungry-pThirst,Hungry-pFear,NotHungry-pHeat,NotHungry-pHunger,NotHungry-pThirst,NotHungry-pFear,FoePresenceHigh-pHeat,FoePresenceHigh-pHunger,FoePresenceHigh-pThirst,FoePresenceHigh-pFear,FoePresenceLow-pHeat,FoePresenceLow-pHunger,FoePresenceLow-pThirst,FoePresenceLow-pFear,Thirsty-pHeat,Thirsty-pHunger,Thirsty-pThirst,Thirsty-pFear,NotThirsty-pHeat,NotThirsty-pHunger,NotThirsty-pThirst,NotThirsty-pFear,Fear-pHeat,Fear-pHunger,Fear-pThirst,Fear-pFear,pHeat-pHeat,pHeat-pHunger,pHeat-pThirst,pHeat-pFear,pHunger-pHeat,pHunger-pHunger,pHunger-pThirst,pHunger-pFear,pThirst-pHeat,pThirst-pHunger,pThirst-pThirst,pThirst-pFear,pFear-pHeat,pFear-pHunger,pFear-pThirst,pFear-pFear,pHeat-Idle,pHeat-GoingToFood,pHeat-GoingToWater,pHeat-SearchingForMate,pHeat-Escaping,pHunger-Idle,pHunger-GoingToFood,pHunger-GoingToWater,pHunger-SearchingForMate,pHunger-Escaping,pThirst-Idle,pThirst-GoingToFood,pThirst-GoingToWater,pThirst-SearchingForMate,pThirst-Escaping,pFear-Idle,pFear-GoingToFood,pFear-GoingToWater,pFear-SearchingForMate,pFear-Escaping
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.0138506290974865,0,0,0,-0.0096890498668126,0,0.00312459705634936,0.0265932991565787,0.000673730364374499,-0.00287151235733456,0,0.00238510893381549,0,0.0124332056812841,0.0077766202910424,0,0,0.00888366126370936,0,-0.00518306687399311,0.00020258734485475,-0.00471927271268217,0,-0.010987044416869,0,0.00302171198366284,-0.00965053506211631,0,0,0,0.00524737614455646,-0.00856839594157011,0,0.00693032957427242,0.00238504526319394,0.000639156150715352,-0.000668697672029082,0.000696732281998874,0.000734113009940707,0,0,0.00124994736129363,-0.0168192325039588,-0.013564046649779,-0.00866030263944691,-0.00940776561353191,0,0.00405763415141689,0,0,0,-0.00526201483278235,0.0158443557421965,0,0,0,0.0106328259002907,0,0,0.00763602860699858,0.00907678381937821,0.000715514750663992,0,0,0.000880369260370573,-0.000644420315141692,-0.00341478004209568,0.0185291252739527,0,0,0,0,0,-0.000215450893386141,-0.0106278043267004,-0.000105200211029457,0,-0.00373577550922605,0,0,0,0,-0.0132087878890035,-0.0040066562273977,0,-0.0164055903145244,0,0.0181841229378118,0,0,0,0,0,0,0.00576815277085286,0.0467753126604907,-0.00407085180537811,-0.00105751186147707,0,0.00713714712895938,-0.019515046020112,-0.00560942970298018,0,-0.00134066340337711,0.00598539885945513,0,0,0,0.00895787026749734,-0.0175166379054804,0,0,-0.0123346141684175,0,0.00950527000294641,0,0,0,0.00238058489616672,-0.0170823675804406,0,-0.00421963480884914,0
0,0,0,0,0,-0.0138506290974865,0,0,0,-0.0096890498668126,0,0.00312459705634936,0.0265932991565787,0.000673730364374499,-0.00287151235733456,0,0.00238510893381549,0,0.0124332056812841,0.0077766202910424,0,0,0.00888366126370936,0,-0.00518306687399311,0.00020258734485475,-0.00471927271268217,0,-0.010987044416869,0,0.00302171198366284,-0.00965053506211631,0,0,0,0.00524737614455646,-0.00856839594157011,0,0.00693032957427242,0.00238504526319394,0.000639156150715352,-0.000668697672029082,0.000696732281998874,0.000734113009940707,0,0,0.00124994736129363,-0.0168192325039588,-0.013564046649779,-0.00866030263944691,-0.00940776561353191,0,0.00405763415141689,0,0,0,-0.00526201483278235,0.0158443557421965,0,0,0,0.0106328259002907,0,0,0.00763602860699858,0.00907678381937821,0.000715514750663992,0,0,0.000880369260370573,-0.000644420315141692,-0.00341478004209568,0.0185291252739527,0,0,0,0,0,-0.000215450893386141,-0.0106278043267004,-0.000105200211029457,0,-0.00373577550922605,0,0,0,0,-0.0132087878890035,-0.0040066562273977,0,-0.0164055903145244,0,0.0181841229378118,0,0,0,0,0,0,0.00576815277085286,0.0467753126604907,-0.00407085180537811,-0.00105751186147707,0,0.00713714712895938,-0.019515046020112,-0.00560942970298018,0,-0.00134066340337711,0.00598539885945513,0,0,0,0.00895787026749734,-0.0175166379054804,0,0,-0.0123346141684175,0,0.00950527000294641,0,0,0,0.00238058489616672,-0.0170823675804406,0,-0.00421963480884914,0
0,0,0,0,0,-0.0138506290974865,0,0,0,-0.0096890498668126,0,0.00312459705634936,0.0265932991565787,0.000673730364374499,-0.00287151235733456,0,0.00238510893381549,0,0.0124332056812841,0.0077766202910424,0,0,0.00888366126370936,0,-0.00518306687399311,0.00020258734485475,-0.00471927271268217,0,-0.010987044416869,0,0.00302171198366284,-0.00965053506211631,0,0,0,0.00524737614455646,-0.00856839594157011,0,0.00693032957427242,0.00238504526319394,0.000639156150715352,-0.000668697672029082,0.000696732281998874,0.000734113009940707,0,0,0.00124994736129363,-0.0168192325039588,-0.013564046649779,-0.00866030263944691,-0.00940776561353191,0,0.00405763415141689,0,0,0,-0.00526201483278235,0.0158443557421965,0,0,0,0.0106328259002907,0,0,0.00763602860699858,0.00907678381937821,0.000715514750663992,0,0,0.000880369260370573,-0.000644420315141692,-0.00341478004209568,0.0185291252739527,0,0,0,0,0,-0.000215450893386141,-0.0106278043267004,-0.000105200211029457,0,-0.00373577550922605,0,0,0,0,-0.0132087878890035,-0.0040066562273977,0,-0.0164055903145244,0,0.0181841229378118,0,0,0,0,0,0,0.00576815277085286,0.0467753126604907,-0.00407085180537811,-0.00105751186147707,0,0.00713714712895938,-0.019515046020112,-0.00560942970298018,0,-0.00134066340337711,0.00598539885945513,0,0,0,0.00895787026749734,-0.0175166379054804,0,0,-0.0123346141684175,0,0.00950527000294641,0,0,0,0.00238058489616672,-0.0170823675804406,0,-0.00421963480884914,0
0,0,0,0,0,-0.0138506290974865,0,0,0,-0.0096890498668126,0,0.00312459705634936,0.0265932991565787,0.000673730364374499,-0.00287151235733456,0,0.00238510893381549,0,0.0124332056812841,0.0077766202910424,0,0,0.00888366126370936,0,-0.00518306687399311,0.00020258734485475,-0.00471927271268217,0,-0.010987044416869,0,0.00302171198366284,-0.00965053506211631,0,0,0,0.00524737614455646,-0.00856839594157011,0,0.00693032957427242,0.00238504526319394,0.000639156150715352,-0.000668697672029082,0.000696732281998874,0.000734113009940707,0,0,0.00124994736129363,-0.0168192325039588,-0.013564046649779,-0.00866030263944691,-0.00940776561353191,0,0.00405763415141689,0,0,0,-0.00526201483278235,0.0158443557421965,0,0,0,0.0106328259002907,0,0,0.00763602860699858,0.00907678381937821,0.000715514750663992,0,0,0.000880369260370573,-0.000644420315141692,-0.00341478004209568,0.0185291252739527,0,0,0,0,0,-0.000215450893386141,-0.0106278043267004,-0.000105200211029457,0,-0.00373577550922605,0,0,0,0,-0.0132087878890035,-0.0040066562273977,0,-0.0164055903145244,0,0.0181841229378118,0,0,0,0,0,0,0.00576815277085286,0.0467753126604907,-0.00407085180537811,-0.00105751186147707,0,0.00713714712895938,-0.019515046020112,-0.00560942970298018,0,-0.00134066340337711,0.00598539885945513,0,0,0,0.00895787026749734,-0.0175166379054804,0,0,-0.0123346141684175,0,0.00950527000294641,0,0,0,0.00238058489616672,-0.0170823675804406,0,-0.00421963480884914,0
0,0,0,0,0,-0.0138506290974865,0,0,0,-0.0096890498668126,0,0.00312459705634936,0.0265932991565787,0.000673730364374499,-0.00287151235733456,0,0.00238510893381549,0,0.0124332056812841,0.0077766202910424,0,0,0.00888366126370936,0,-0.00518306687399311,0.00020258734485475,-0.00471927271268217,0,-0.010987044416869,0,0.00302171198366284,-0.00965053506211631,0,0,0,0.00524737614455646,-0.00856839594157011,0,0.00693032957427242,0.00238504526319394,0.000639156150715352,-0.000668697672029082,0.000696732281998874,0.000734113009940707,0,0,0.00124994736129363,-0.0168192325039588,-0.013564046649779,-0.00866030263944691,-0.00940776561353191,0,0.00405763415141689,0,0,0,-0.00526201483278235,0.0158443557421965,0,0,0,0.0106328259002907,0,0,0.00763602860699858,0.00907678381937821,0.000715514750663992,0,0,0.000880369260370573,-0.000644420315141692,-0.00341478004209568,0.0185291252739527,0,0,0,0,0,-0.000215450893386141,-0.0106278043267004,-0.000105200211029457,0,-0.00373577550922605,0,0,0,0,-0.0132087878890035,-0.0040066562273977,0,-0.0164055903145244,0,0.0181841229378118,0,0,0,0,0,0,0.00576815277085286,0.0467753126604907,-0.00407085180537811,-0.00105751186147707,0,0.00713714712895938,-0.019515046020112,-0.00560942970298018,0,-0.00134066340337711,0.00598539885945513,0,0,0,0.00895787026749734,-0.0175166379054804,0,0,-0.0123346141684175,0,0.00950527000294641,0,0,0,0.00238058489616672,-0.0170823675804406,0,-0.00421963480884914,0
0,0,0,0,0,-0.0138506290974865,0,0,0,-0.0096890498668126,0,0.00312459705634936,0.0265932991565787,0.000673730364374499,-0.00287151235733456,0,0.00238510893381549,0,0.0124332056812841,0.0077766202910424,0,0,0.00888366126370936,0,-0.00518306687399311,0.00020258734485475,-0.00471927271268217,0,-0.010987044416869,0,0.00302171198366284,-0.00965053506211631,0,0,0,0.00524737614455646,-0.00856839594157011,0,0.00693032957427242,0.00238504526319394,0.000639156150715352,-0.000668697672029082,0.000696732281998874,0.000734113009940707,0,0,0.00124994736129363,-0.0168192325039588,-0.013564046649779,-0.00866030263944691,-0.00940776561353191,0,0.00405763415141689,0,0,0,-0.00526201483278235,0.0158443557421965,0,0,0,0.0106328259002907,0,0,0.00763602860699858,0.00907678381937821,0.000715514750663992,0,0,0.000880369260370573,-0.000644420315141692,-0.00341478004209568,0.0185291252739527,0,0,0,0,0,-0.000215450893386141,-0.0106278043267004,-0.000105200211029457,0,-0.00373577550922605,0,0,0,0,-0.0132087878890035,-0.0040066562273977,0,-0.0164055903145244,0,0.0181841229378118,0,0,0,0,0,0,0.00576815277085286,0.0467753126604907,-0.00407085180537811,-0.00105751186147707,0,0.00713714712895938,-0.019515046020112,-0.00560942970298018,0,-0.00134066340337711,0.00598539885945513,0,0,0,0.00895787026749734,-0.0175166379054804,0,0,-0.0123346141684175,0,0.00950527000294641,0,0,0,0.00238058489616672,-0.0170823675804406,0,-0.00421963480884914,0
0,0,0,0,0,-0.0138506290974865,0,0,0,-0.0096890498668126,0,0.00312459705634936,0.0265932991565787,0.000673730364374499,-0.00287151235733456,0,0.00238510893381549,0,0.0124332056812841,0.0077766202910424,0,0,0.00888366126370936,0,-0.00518306687399311,0.00020258734485475,-0.00471927271268217,0,-0.010987044416869,0,0.00302171198366284,-0.00965053506211631,0,0,0,0.00524737614455646,-0.00856839594157011,0,0.00693032957427242,0.00238504526319394,0.000639156150715352,-0.000668697672029082,0.000696732281998874,0.000734113009940707,0,0,0.00124994736129363,-0.0168192325039588,-0.013564046649779,-0.00866030263944691,-0.00940776561353191,0,0.00405763415141689,0,0,0,-0.00526201483278235,0.0158443557421965,0,0,0,0.0106328259002907,0,0,0.00763602860699858,0.00907678381937821,0.000715514750663992,0,0,0.000880369260370573,-0.000644420315141692,-0.00341478004209568,0.0185291252739527,0,0,0,0,0,-0.000215450893386141,-0.0106278043267004,-0.000105200211029457,0,-0.00373577550922605,0,0,0,0,-0.0132087878890035,-0.0040066562273977,0,-0.0164055903145244,0,0.0181841229378118,0,0,0,0,0,0,0.00576815277085286,0.0467753126604907,-0.00407085180537811,-0.00105751186147707,0,0.00713714712895938,-0.019515046020112,-0.00560942970298018,0,-0.00134066340337711,0.00598539885945513,0,0,0,0.00895787026749734,-0.0175166379054804,0,0,-0.0123346141684175,0,0.00950527000294641,0,0,0,0.00238058489616672,-0.0170823675804406,0,-0.00421963480884914,0
