Fitness,Round duration,Maximum alive animals,Age death ratio,Born animals
1590,63,60,0.00769230769230769,2
1497,65,62,0.0102564102564103,5
1435,54,64,0.00766283524904215,6
1424,60,60,0.00934579439252336,0
1324,67,67,0.0128205128205128,9
1291,64,66,0.0109170305676856,8
1601,66,63,0.0134099616858238,4
1401,67,66,0.0152027027027027,10
1503,52,62,0.0137614678899083,2
1574,65,62,0.0139470013947001,3
1498,52,62,0.0128369704749679,2
1205,52,65,0.0118343195266272,6
1459,60,63,0.011001100110011,4
1474,56,70,0.0102145045965271,10
1440,52,69,0.00954198473282443,9
