Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-born children,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
30,0,3,0,2.1,10,13,30,25,2,0,3,1,2,8,13,30,25
30,0,3,0,2.1,10,13,30,25,2,0,3,1,2,8,13,30,25
30,0,3,0,2.1,10,13,30,25,2,0,3,1,2,8,13,30,25
30,0,3,0,2.1,10,13,30,25,2,0,3,1,2,8,13,30,25
30,0,3,0,2.1,10,13,30,25,2,0,3,1,2,8,13,30,25
23,0,3,0,2.1,10,13,30,25,1,0,3,1,2,8,13,30,25
17,0,3,0,2.1,10,13,30,25,0,0,3,1,2,8,13,30,25
17,0,3,0,2.1,10,13,30,25,0,0,3,1,2,8,13,30,25
18,2,3,0,2.1,10,13.1027515336118,30,25,0,0,3,1,2,8,13,30,25
14,2,3,0,2.1,10,13.1321091146437,30,25,0,0,3,1,2,8,13,30,25
15,4,3,0,2.1,10,13.1233018403342,30,25,0,0,3,1,2,8,13,30,25
17,6,3,0,2.1,10,13.1217856277417,30,25,0,0,3,1,2,8,13,30,25
