Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
42,2,3,0,2.1,10,13,30,25
44,4,3,0,2.1,10,13,30,25
44,4,3,0,2.1,10,13,30,25
44,4,3,0,2.1,10,13,30,25
44,4,3,0,2.1,10,13,30,25
44,4,3,0,2.1,10,13,30,25
44,4,3,0,2.1,10,13,30,25
44,4,3,0,2.1,10,13,30,25
42,6,3,0,2.1,10,13,30,25
37,6,3,0,2.1,10,13,30,25
31,6,3,0,2.1,10,13,30,25
31,6,3,0,2.1,10,13,30,25
31,6,3,0,2.1,10,13,30,25
27,6,3,0,2.1,10,13,30,25
23,6,3,0,2.1,10,13,30,25
20,6,3,0,2.1,10,13,30,25
5,6,3,0,2.1,10,13,30,25
5,6,3,0,2.1,10,13,30,25
4,6,3,0,2.1,10,13,30,25
4,6,3,0,2.1,10,13,30,25
1,6,3,0,2.1,10,13,30,25
1,6,3,0,2.1,10,13,30,25
1,6,3,0,2.1,10,13,30,25
1,6,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
39,0,3,0,2.1,10,13,30,25
39,0,3,0,2.1,10,13,30,25
39,0,3,0,2.1,10,13,30,25
39,0,3,0,2.1,10,13,30,25
38,0,3,0,2.1,10,13,30,25
