Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
18,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
18,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
15,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
14,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
13,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
11,3,0,2.1,4,13,30,25,24,3.05173938714948,1,2.02703194391264,3.97977041349337,13.3007460382968,30.3415417674383,24.3990754442426
11,3,0,2.1,4,13,30,25,24,3.05173938714948,1,2.02703194391264,3.97977041349337,13.3007460382968,30.3415417674383,24.3990754442426
11,3,0,2.1,4,13,30,25,24,3.05173938714948,1,2.02703194391264,3.97977041349337,13.3007460382968,30.3415417674383,24.3990754442426
10,3,0,2.1,4,13,30,25,24,3.05173938714948,1,2.02703194391264,3.97977041349337,13.3007460382968,30.3415417674383,24.3990754442426
10,3.00659556134712,0,2.05373644931799,4.02365589349745,12.9802337154688,29.4011961873228,25.1955952992818,24,3.05173938714948,1,2.02703194391264,3.97977041349337,13.3007460382968,30.3415417674383,24.3990754442426
10,3.00659556134712,0,2.05373644931799,4.02365589349745,12.9802337154688,29.4011961873228,25.1955952992818,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
9,3.0073284014968,0,2.04859605479777,4.02628432610827,12.978037461632,29.3346624303586,25.2173281103131,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
6,3.0109926022452,0,2.02289408219665,4.03942648916241,12.9670561924481,29.0019936455379,25.3259921654696,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
5,3.01319112269423,0,2.00747289863598,4.04731178699489,12.9604674309377,28.8023923746455,25.3911905985636,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
5,3.01319112269423,0,2.00747289863598,4.04731178699489,12.9604674309377,28.8023923746455,25.3911905985636,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
3,3.02198520449039,0,1.9457881643933,4.07885297832482,12.9341123848961,28.0039872910758,25.6519843309393,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
3,3.02198520449039,0,1.9457881643933,4.07885297832482,12.9341123848961,28.0039872910758,25.6519843309393,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
3,3.02198520449039,0,1.9457881643933,4.07885297832482,12.9341123848961,28.0039872910758,25.6519843309393,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
1,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
0,3,0,2.1,4,13,30,25,26,2.99563696232102,1,2.05075139294258,3.95723293409516,13.2779147732162,30.6831960734066,24.2527665583157
