Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
19,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
18,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
14,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
12,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
11,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
11,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
8,3,0,2.1,4,13,30,25,24,2.94849023899051,1,1.99403586784262,3.90189526284194,12.8617106710335,31.3185330361961,25.4902828979937
8,3,0,2.1,4,13,30,25,26,2.95055822207833,1,2.0102482492847,3.92833600260112,12.893975552574,30.9062108627388,25.7895300593828
8,3,0,2.1,4,13,30,25,26,2.95055822207833,1,2.0102482492847,3.92833600260112,12.893975552574,30.9062108627388,25.7895300593828
6,3,0,2.1,4,13,30,25,26,2.95055822207833,1,2.0102482492847,3.92833600260112,12.893975552574,30.9062108627388,25.7895300593828
