Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-born children,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
40,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
39,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
34,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
45,14,2.99161058531315,0,2,10,13,30,20,26,6,3,1,2,8,13,29.8833841488875,20
43,14,2.99122037997888,0,2,10,13,30,20,28,8,3,1,2,8,13,29.8917138525384,20
38,14,3,0,2,10,13,30,20,32,12,3,1,2,8,13,29.9052496209711,20
17,14,3,0,2,10,13,30,20,22,14,3.00265838503185,1,2,8,13,30,20
14,14,3,0,2,10,13,30,20,17,16,3.00344026298239,1,2,8,12.9737231201477,30,20
12,14,3,0,2,10,13,30,20,17,16,3.00344026298239,1,2,8,12.9737231201477,30,20
2,14,3,0,2,10,13,30,20,13,16,3,1,2,8,12.965637926347,30,20
2,14,3,0,2,10,13,30,20,10,16,3,1,2,8,13,30,20
1,14,3,0,2,10,13,30,20,8,16,3,1,2,8,13,30,20
0,14,3,0,2,10,13,30,20,5,16,3,1,2,8,13,30,20
0,14,3,0,2,10,13,30,20,5,16,3,1,2,8,13,30,20
40,0,3,0,2.01041673939211,10.0091800940143,12.9436286123843,30.2593483284916,20.0562548928996,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
40,0,3,0,2.01041673939211,10.0091800940143,12.9436286123843,30.2593483284916,20.0562548928996,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
39,0,3,0,2.01068383527396,10.0094154810403,12.942183192189,30.2659982856324,20.0576973260509,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
52,14,3,0,2.00801287645547,10.0070616107802,12.9602814822917,29.981536880524,20.0167353558295,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
49,14,3,0,2.00850346072825,10.0074939542974,12.9578497363096,29.980406485454,20.0177599694518,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
48,14,3,0,2.00868061616009,10.0076500783453,12.9569716058161,29.9799982872343,20.0181299688153,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
27,14,3,0,2.01543220650683,10,12.9164868331619,30.3842197459135,20.0322310556717,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
19,14,3,0,2.0219299776676,10,12.8813233944932,30.545996481035,20.1184313534728,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
17,14,3,0,2.02450997504026,10,12.8673614409042,30.6102313611568,20.1323644538814,20,0,3.01169689414014,1,2,8,13,29.554999339801,20.2309351314854
4,14,3,0,2,10,12.4362861238427,32.5934832849163,20,4,0,3,1,2,8,13,30,20
2,14,3,0,2,10,11.8725722476854,30,20,3,0,3,1,2,8,13,30,20
1,14,3,0,2,10,13,30,20,3,0,3,1,2,8,13,30,20
1,14,3,0,2,10,13,30,20,3,0,3,1,2,8,13,30,20
1,14,3,0,2,10,13,30,20,2,0,3,1,2,8,13,30,20
40,0,3.01553010722628,0,1.96857830383036,10.0378744965078,12.9111042526442,30.5272302423654,20.2642004875444,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
40,0,3.01553010722628,0,1.96857830383036,10.0378744965078,12.9111042526442,30.5272302423654,20.2642004875444,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
39,0,3.01592831510387,0,1.96777261931319,10.0388456374439,12.9088248745069,30.5407489665286,20.2709748590199,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
41,4,3.0151513241232,0,1.95129484792255,10,12.9132724416041,30.5143709681614,20.3675222178962,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
39,4,3.01592831510387,0,1.9582848835646,10,12.9674091404595,30.5407489665286,20.3286721850707,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
39,4,3.01592831510387,0,1.9582848835646,10,12.9674091404595,30.5407489665286,20.3286721850707,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
31,4,3.02003884803391,0,1.97139205959384,10,12.9272627256571,30.6802970869231,20.2683168963158,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
29,4,3.02142083755349,0,1.96941909818652,10,13,30.3577218324022,20.2868215098549,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
29,4,3.02142083755349,0,1.96941909818652,10,13,30.3577218324022,20.2868215098549,20,0,3,1,1.9898421230325,7.96051881363001,12.9623750415736,30,20
7,4,3,0,2,10,13,31.4819904485236,20,5,0,3,1,2,8,12.7493215177377,30,20
5,4,3,0,2,10,13,30,20,4,0,3,1,2,8,13,30,20
2,4,3,0,2,10,13,30,20,4,0,3,1,2,8,13,30,20
2,4,3,0,2,10,13,30,20,4,0,3,1,2,8,13,30,20
2,4,3,0,2,10,13,30,20,4,0,3,1,2,8,13,30,20
40,0,3.08697099964524,0,1.93641506843844,10.0038926456835,12.9618684704532,30.1274932980973,20.2180273512662,20,0,3.00284248137545,1,2,7.88155644089004,12.9373303794344,29.9404307986416,20.1036614035041
40,0,3.08697099964524,0,1.93641506843844,10.0038926456835,12.9618684704532,30.1274932980973,20.2180273512662,20,0,3.00284248137545,1,2,7.88155644089004,12.9373303794344,29.9404307986416,20.1036614035041
40,0,3.08697099964524,0,1.93641506843844,10.0038926456835,12.9618684704532,30.1274932980973,20.2180273512662,20,0,3.00284248137545,1,2,7.88155644089004,12.9373303794344,29.9404307986416,20.1036614035041
44,6,3.06494626583542,0,1.913446345115,9.98781314334387,12.962049792526,30.1159029982703,20.35162911815,22,2,2.9935209691644,1,1.96332031346563,7.90597640870031,12.9430276176676,29.9458461805832,20.0942376395491
41,6,3.05454710750506,0,1.91205992130575,9.98692142212513,12.9592729480767,30.1243837054608,20.3224752556735,22,2,2.9935209691644,1,1.96332031346563,7.90597640870031,12.9430276176676,29.9458461805832,20.0942376395491
37,6,3.02686548188122,0,1.89417999550674,9.98550752181433,12.9018490830161,30.1378305925377,20.3573374454761,22,2,2.9935209691644,1,1.96332031346563,7.90597640870031,12.9430276176676,29.9458461805832,20.0942376395491
28,6,3.06208759440194,0,1.93945678567567,9.98084922525465,12.8703005739856,30.1821332829962,19.9900111138112,24,4,2.9940608884007,1,1.96637695401016,7.91381170797528,12.9477753161953,29.950358998868,20.0863845029201
24,6,3.07243552680226,0,1.92936624995495,10.0064877428058,12.8547068341075,30.2124888301622,19.9883462994464,24,4,2.9940608884007,1,1.96637695401016,7.91381170797528,12.9477753161953,29.950358998868,20.0863845029201
24,6,3.07243552680226,0,1.92936624995495,10.0064877428058,12.8547068341075,30.2124888301622,19.9883462994464,22,4,3.00258407397769,1,2,7.89232403717277,12.9430276176676,29.9458461805832,20.0942376395491
8,6,3.21730658040679,0,1.97310959696229,10,13,30.6374664904867,20.281274464498,6,4,3,1,2,8,12.7911012647814,30,20
6,6,3.28974210720905,0,2.02581641164887,10,13,30,20,6,4,3,1,2,8,12.7911012647814,30,20
2,6,3,0,2,10,13,30,20,5,4,3,1,2,8,13,30,20
2,6,3,0,2,10,13,30,20,3,4,3,1,2,8,13,30,20
0,6,3,0,2,10,13,30,20,1,4,3,1,2,8,13,30,20
40,0,3.01151723756921,0,1.91382395419439,9.96943742579684,13,31.3659409660583,21.0135718766912,20,0,2.97907979915526,1,1.98349201418873,8,13,30.0706005512145,20
40,0,3.01151723756921,0,1.91382395419439,9.96943742579684,13,31.3659409660583,21.0135718766912,20,0,2.97907979915526,1,1.98349201418873,8,13,30.0706005512145,20
39,0,3.01181255135303,0,1.91161431199425,9.96865377004804,13,31.2702027363703,21.0395608991704,20,0,2.97907979915526,1,1.98349201418873,8,13,30.0706005512145,20
43,4,2.99228969390871,0,1.88541561374409,9.97156969841566,13,31.1520443422893,21.1521780914321,22,2,2.98098163559569,1,1.98499274017157,8,13,30.0641823192859,20
42,4,2.99210611519225,0,1.88268741407133,9.97089278647318,13,31.0580517808225,21.1796109031329,22,2,2.98098163559569,1,1.98499274017157,8,13,30.0641823192859,20
42,4,2.99210611519225,0,1.88268741407133,9.97089278647318,13,31.0580517808225,21.1796109031329,22,2,2.98098163559569,1,1.98499274017157,8,13,30.0641823192859,20
34,4,3.02520017162104,0,1.93126538971648,9.96404403034922,13,31.3070051410161,20.9875413934222,18,2,2.97675533239474,1,1.98165779354303,8,13,30.078445056905,20
34,4,3.02520017162104,0,1.93126538971648,9.96404403034922,13,31.3070051410161,20.9875413934222,18,2,2.97675533239474,1,1.98165779354303,8,13,30.078445056905,20
32,4,3.06511391759559,0,1.92696947657376,9.96179678224605,13,31.3886929623296,20.7426331118486,18,2,2.97675533239474,1,1.98165779354303,8,13,30.078445056905,20
16,4,3,0,1.97687364411282,9.94708577057749,13,32.5563266527845,20.0803540873702,3,2,3,1,2,8,13,30,20
13,4,3,0,2,9.93487479455691,13,32.361674045905,20.0332123912831,3,2,3,1,2,8,13,30,20
5,4,3,0,2,9.86414924693428,13,33.0805133650166,20.0863522173359,3,2,3,1,2,8,13,30,20
4,4,3,0,2,9.83018655866785,13,32.5757087252973,20.1079402716699,3,2,3,1,2,8,13,30,20
3,4,3,0,2,9.7735820782238,13,31.7343676590984,20.1439203622266,2,2,3,1,2,8,13,30,20
40,0,2.95023596516101,0,1.82423969525743,9.95932434189453,12.8931290292201,30.9304418672289,20.9954318094657,20,0,2.95474705440289,1,2.04573103968529,7.91946211406106,13,30,20
40,0,2.95023596516101,0,1.82423969525743,9.95932434189453,12.8931290292201,30.9304418672289,20.9954318094657,20,0,2.95474705440289,1,2.04573103968529,7.91946211406106,13,30,20
37,0,2.98905296755081,0,1.82999003239694,9.96618510738236,12.8844638153731,30.8680525071693,20.9545102958557,20,0,2.95474705440289,1,2.04573103968529,7.91946211406106,13,30,20
43,6,2.9905804604507,0,1.80208141938413,9.94467960653602,12.9005851434606,30.7469289015177,21.1353036102921,20,0,2.95474705440289,1,2.04573103968529,7.91946211406106,13,30,20
41,6,2.99012097071659,0,1.79242685447604,9.94198105075729,12.8957356382635,30.6564595070236,21.185418895103,22,2,2.95886095854808,1,2.04157367244117,7.92678374005551,13,29.9256367485107,20
41,6,2.99012097071659,0,1.79242685447604,9.94198105075729,12.8957356382635,30.6564595070236,21.185418895103,22,2,2.95886095854808,1,2.04157367244117,7.92678374005551,13,29.9256367485107,20
29,6,2.99969228040438,0,1.83412820605057,9.96981807829357,12.8525917644415,30.928097923723,20.9000075013581,19,2,2.95236532042409,1,2.04813793651083,7.91522327795902,13,30,20
21,6,3.01843773638448,0,1.84141927391648,9.9762190270419,13,30.7910478517514,20.8039787681957,19,2,2.95236532042409,1,2.04813793651083,7.91522327795902,13,30,20
18,6,2.97799353709183,0,1.83554591369116,9.97225553154888,13,30.0585878635978,20.599999929572,19,2,2.95236532042409,1,2.04813793651083,7.91522327795902,13,30,20
7,6,3,0,2,10,13,31.4570662639697,20,4,2,3,1,2,8,13,30,20
5,6,3,0,2,10,13,31.0199463847788,20,4,2,3,1,2,8,13,30,20
3,6,3,0,2,10,13,31.699910641298,20,3,2,3,1,2,8,13,30,20
1,6,3,0,2,10,13,30,20,3,2,3,1,2,8,13,30,20
0,6,3,0,2,10,13,30,20,3,2,3,1,2,8,13,30,20
40,0,2.93963754632656,0,1.87166691542911,9.94431393932286,12.5725161168804,32.3207021227859,20.7313136076947,20,0,3,1,2,7.8853213257312,13,29.829618615089,19.9600716081402
40,0,2.93963754632656,0,1.87166691542911,9.94431393932286,12.5725161168804,32.3207021227859,20.7313136076947,20,0,3,1,2,7.8853213257312,13,29.829618615089,19.9600716081402
39,0,2.94955199277349,0,1.87786405926563,9.94288609161319,12.5615549916722,32.3802073054214,20.6923679126104,20,0,3,1,2,7.8853213257312,13,29.829618615089,19.9600716081402
44,8,2.89226621344858,0,1.82446647176819,9.93327182057807,12.203129081058,31.6521057719565,21.0067257339508,22,2,3,1,2.00918278831063,7.89574665975564,13,29.8451078318991,19.9637014619457
44,8,2.89226621344858,0,1.82446647176819,9.93327182057807,12.203129081058,31.6521057719565,21.0067257339508,22,2,3,1,2.00918278831063,7.89574665975564,13,29.8451078318991,19.9637014619457
40,8,2.87126219198723,0,1.82541420365475,9.9302908599065,12.2303129599437,31.555874063699,20.9948885215467,22,2,3,1,2.00918278831063,7.89574665975564,13,29.8451078318991,19.9637014619457
31,8,2.91055437656681,0,1.8644529534926,9.94496006483688,12.8342435930621,32.3197645830705,20.7258695858012,18,2,3,1,2,7.87257925081244,13,29.8106873500989,19.9556351201558
20,8,2.9603883667653,0,1.91940967088175,9.95011797387111,12.7862580584402,32.8306753151752,20.3375293573976,18,2,3,1,2,7.87257925081244,13,29.8106873500989,19.9556351201558
19,8,2.95830354396348,0,1.91516807461237,10,12.7750084825686,32.4292534150201,20.3552940604185,18,2,3,1,2,7.87257925081244,13,29.8106873500989,19.9556351201558
14,8,3,0,1.96416132144426,10,13,32.932577354392,20,2,2,3,1,2,8,13,30,20
8,8,3,0,2,10,13,32.5498659619469,20,2,2,3,1,2,8,13,30,20
3,8,3,0,2,10,13,33.3998212825959,20,2,2,3,1,2,8,13,30,20
3,8,3,0,2,10,13,33.3998212825959,20,2,2,3,1,2,8,13,30,20
3,8,3,0,2,10,13,33.3998212825959,20,2,2,3,1,2,8,13,30,20
40,0,2.98971354342222,0,1.93968458151291,9.9921387699122,12.9724410660797,32.5065623314506,20.0470480871495,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
40,0,2.98971354342222,0,1.93968458151291,9.9921387699122,12.9724410660797,32.5065623314506,20.0470480871495,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
40,0,2.98971354342222,0,1.93968458151291,9.9921387699122,12.9724410660797,32.5065623314506,20.0470480871495,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
38,2,2.94872291449757,0,1.9170352597928,9.99172502096021,12.9357484972866,32.6384866646848,20.1679556557355,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
38,2,2.94872291449757,0,1.9170352597928,9.99172502096021,12.9357484972866,32.6384866646848,20.1679556557355,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
37,2,2.94733704732183,0,1.91479296951693,9.99150137287805,12.9340119701862,32.7097971150817,20.1724949977824,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
36,2,2.9568774189793,0,1.92270448795337,9.99126529990244,12.9321789693581,32.7850692571673,20.1147810889435,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
31,2,2.97547805638544,0,1.93898017886223,9.98985647730606,12.9212400934481,33.0697664946494,19.9881202506451,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
28,2,2.98699771715342,0,1.95104956531935,9.98876967130314,12.9128015320318,33.2165367646513,19.9064832876433,20,0,3.02811323261562,1,2.01095828937091,8,13,30,19.6375085675342
22,2,3.01946221568135,0,1.97133778260598,9.98570685438582,12.8890201316768,33.861968067561,19.6764154828203,4,0,3,1,2,8,13,30,20
10,2,3,0,1.96980388199644,9.9685550796488,12.755844289689,30,19.2881140622046,3,0,3,1,2,8,13,30,20
1,2,3,0,2,10,13,30,12.8811406220463,2,0,3,1,2,8,13,30,20
1,2,3,0,2,10,13,30,12.8811406220463,0,0,3,1,2,8,13,30,20
40,0,3.03266399407746,0,1.93693070906544,10.0281856134688,13.1264077367102,35.7793264623525,19.8979030340226,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
40,0,3.03266399407746,0,1.93693070906544,10.0281856134688,13.1264077367102,35.7793264623525,19.8979030340226,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
39,0,3.03350153238714,0,1.93986808654443,9.99582497447475,13.1296489607284,35.6593683865635,19.8952851631001,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
39,0,3.03350153238714,0,1.93986808654443,9.99582497447475,13.1296489607284,35.6593683865635,19.8952851631001,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
39,0,3.03350153238714,0,1.93986808654443,9.99582497447475,13.1296489607284,35.6593683865635,19.8952851631001,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
37,0,3.03531242602969,0,1.9406982693311,9.99559929741933,13.1366570126596,35.9652801912426,19.889624901646,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
36,0,3.03629332675273,0,1.9439850827185,9.99547705568098,13.1404530407891,35.8404909904959,19.8865589266917,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
34,0,3.03842822832642,0,1.95543626055885,9.9952110001328,13.1487149843649,36.1840492840545,19.8798859223795,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
32,0,3.04082999259682,0,1.95265102684378,9.9949116876411,13.1580096708877,36.2437495074916,19.8723787925282,20,0,2.99587013731579,1,1.97104990006679,8.09288230835328,13,30,19.9334237056251
20,0,3.05022351317358,0,1.9746882692376,9.99185870022576,13.2444498618777,35.228845709062,19.6440570311023,2,0,3,1,2,8,13,30,20
9,0,3.1116078070524,0,1.98322437888691,10,12.9023792312193,30,19.2090156246718,0,0,3,1,2,8,13,30,20
1,0,3,0,2,10,13,30,12.8811406220463,0,0,3,1,2,8,13,30,20
