Fitness,Round duration,Maximum alive animals,Age death ratio,Born animals
152656,89,20,0.0000,0
216881,208,20,0.0000,0
183870,134,22,0.0000,2
214834,222,20,0.0000,0
162813,143,20,0.0000,0
149313,90,20,0.0000,0
164947,146,20,0.0000,0
181036,134,20,0.0000,0
158465,114,20,0.0000,0
228019,275,20,0.0500,0
153408,89,20,0.0000,0
229677,221,22,0.0000,2
203959,239,20,0.0000,0
240804,188,22,0.0000,2
259669,269,20,0.0000,0
288415,202,26,0.0000,8
219291,275,20,0.0500,0
278032,275,20,0.0500,0
219462,275,20,0.0500,0
371859,275,20,0.1000,0
253660,268,20,0.0000,0
255975,275,20,0.0500,0
385449,275,20,0.1000,0
229253,275,20,0.0500,0
223877,275,22,0.0455,2
328413,275,20,0.1000,0
297258,275,24,0.0417,4
248414,275,20,0.0500,0
354450,275,20,0.1000,0
315380,275,20,0.0500,0
310187,275,20,0.1000,0
231912,255,20,0.0000,0
370603,275,20,0.1000,0
308002,275,24,0.0833,4
286433,275,20,0.1000,0
225602,275,20,0.0500,0
291895,275,22,0.0909,2
349441,275,20,0.1000,0
314410,275,24,0.0833,4
216718,275,22,0.0455,2
285896,275,20,0.1000,0
244296,275,26,0.0385,6
350047,275,22,0.1364,2
308285,275,24,0.0833,4
319617,275,22,0.0909,2
270683,275,26,0.0385,6
229757,267,22,0.0000,2
352609,275,26,0.0769,6
367112,275,22,0.0909,2
577730,275,20,0.2000,0
576920,275,24,0.2083,4
770684,275,26,0.1667,10
587203,275,22,0.2273,2
409060,275,22,0.0909,2
578077,275,24,0.0714,8
692774,275,24,0.2917,4
665313,275,26,0.1923,6
2865118,552,24,0.3421,18
694618,275,24,0.2083,4
747078,275,22,0.2308,6
3537666,654,24,0.4500,20
2163054,375,23,0.4706,14
1434962,403,24,0.2941,14
