Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
18,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
14,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
12,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
11,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
10,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
13,3.0589045453996,0,2.15024761777267,4.1956020915647,12.8972996599524,31.3390125655551,24.9523690450947,20,3,1,2,4,13,30,25
13,3.0589045453996,0,2.15024761777267,4.1956020915647,12.8972996599524,31.3390125655551,24.9523690450947,20,3,1,2,4,13,30,25
12,3.06381325751623,0,2.15443491925373,4.21190226586175,12.8887412982818,31.450596946018,24.9483997988526,20,3,1,2,4,13,30,25
7,3.10939415574211,0,2.19331700443496,4.36326102719158,12.8092707970545,32.4867376217452,24.9115425123188,5,3,1,2,4,13,30,25
4,3,0,2.1,4,13,30,25,5,3,1,2,4,13,30,25
