Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-infant factor,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
23,3.03653067858079,0,2.05195824088459,0.103112680293022,3.039347568256,19.9325215279728,29.496008717057,25.3873099889908,1,2,1,2,0.1,11,20,30,25
23,3.03653067858079,0,2.05195824088459,0.103112680293022,3.039347568256,19.9325215279728,29.496008717057,25.3873099889908,1,2,1,2,0.1,11,20,30,25
25,3.08094697326987,0,2.01768481789295,0.103277279204032,3.08820974759745,19.804087704843,29.7432511375897,25.1351312716361,1,2,1,2,0.1,11,20,30,25
25,3.08094697326987,0,2.01768481789295,0.103277279204032,3.08820974759745,19.804087704843,29.7432511375897,25.1351312716361,1,2,1,2,0.1,11,20,30,25
25,3.08094697326987,0,2.01768481789295,0.103277279204032,3.08820974759745,19.804087704843,29.7432511375897,25.1351312716361,1,2,1,2,0.1,11,20,30,25
25,3.08094697326987,0,2.01768481789295,0.103277279204032,3.08820974759745,19.804087704843,29.7432511375897,25.1351312716361,1,2,1,2,0.1,11,20,30,25
