Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-growth factor,Rabbit-speed,Rabbit-heat Timer
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
10,1,0,2,0.1,0.002,3,600
14,1.01475566489208,0,1.85714285714286,0.0974778895626347,0.00206076259539893,2.8653461951813,601.794467653309
14,1.06193700031429,0,1.85714285714286,0.0974475628769586,0.00204229781089298,2.92387562871297,604.332284886051
12,1.02940125678731,0,2,0.0999626661875748,0.00202074738486678,2.98514046938202,602.458555075155
12,1.02940125678731,0,2,0.0999626661875748,0.00202074738486678,2.98514046938202,602.458555075155
14,0.997897463944838,0,2.14285714285714,0.0986842557620518,0.00190288907215489,2.88114581255153,590.423151052685
13,1.02713962164982,0,2.07692307692308,0.0997246104919262,0.00194796378576002,2.91079518781018,602.33185050052
13,1.02713962164982,0,2.07692307692308,0.0997246104919262,0.00194796378576002,2.91079518781018,602.33185050052
17,1.01161516833029,0,2.05882352941176,0.0992820833389639,0.00200303664030915,2.90843287680635,597.227382943237
19,1.0286913704946,0,1.94736842105263,0.0997106849003586,0.00201566376051848,2.85976873589247,583.17788759168
17,1.03094257306227,0,1.94117647058824,0.0992579339032948,0.00197467751643976,2.87357561715271,585.754612394921
19,1.01748683095641,0,1.89473684210526,0.0977027918173888,0.00202282129395503,2.89688548791545,587.886906118295
20,0.996625804345549,0,1.85,0.0989665887876693,0.00200645600823969,2.90457603172283,593.368997727847
20,0.996625804345549,0,1.85,0.0989665887876693,0.00200645600823969,2.90457603172283,593.368997727847
20,0.996625804345549,0,1.85,0.0989665887876693,0.00200645600823969,2.90457603172283,593.368997727847
19,0.996448215100578,0,1.89473684210526,0.0964146596671299,0.00200150199843219,2.89735682977352,592.433001405724
19,0.996448215100578,0,1.89473684210526,0.0964146596671299,0.00200150199843219,2.89735682977352,592.433001405724
29,0.989239551310662,0,2.03448275862069,0.0971407459843948,0.00197959865708794,2.93704074163594,582.193240895803
28,0.995460000214438,0,2.03571428571429,0.0970386297695518,0.00195487818130028,2.90316488723231,575.079517297105
25,0.995060699758929,0,2,0.0964164587671709,0.00199104940724309,2.89965857519203,572.7977964465
25,0.995060699758929,0,2,0.0964164587671709,0.00199104940724309,2.89965857519203,572.7977964465
25,0.995060699758929,0,2,0.0964164587671709,0.00199104940724309,2.89965857519203,572.7977964465
25,0.995060699758929,0,2,0.0964164587671709,0.00199104940724309,2.89965857519203,572.7977964465
27,1.0063033848422,0,2.03703703703704,0.0960322431760614,0.0019823805695485,2.88194325860771,569.887050776844
33,1.00609734184618,0,2,0.0979909791161831,0.00203694944876441,2.87590813368145,575.221388770805
31,1.0013290235606,0,2,0.0984272004599889,0.0020036213745337,2.90335401595246,571.582056722939
29,0.997956648947512,0,2.03448275862069,0.0966160316660116,0.00201059000755774,2.92001038219072,566.042204129181
33,0.980213230604031,0,2.06060606060606,0.0948358339774967,0.00207049492617119,2.90024001311998,561.518814549116
33,0.980213230604031,0,2.06060606060606,0.0948358339774967,0.00207049492617119,2.90024001311998,561.518814549116
35,0.978369301799333,0,2.02857142857143,0.0949027103406819,0.00206068309796152,2.93024293917554,555.026404097802
36,0.982150574673684,0,2.08333333333333,0.0963004640934288,0.00205589695719247,2.9155672502922,561.102969788512
39,0.966973952943546,0,2.02564102564103,0.0964838266810933,0.00205703280822432,2.93831215301223,550.232012204278
36,0.963500526013139,0,2.05555555555556,0.0958914386837634,0.00207466826289229,2.93232236879246,548.747432808686
37,0.985213999350152,0,2.02702702702703,0.0951285824111817,0.00205838185092398,2.9485549449536,561.325139254579
40,0.982644990619234,0,2.175,0.0959412966013264,0.00203901171125741,2.91425500787285,555.58219373802
44,0.966555704488957,0,2.20454545454545,0.0941419431772045,0.00202118778154878,2.87223856470259,548.831474235042
43,0.983472362842951,0,2.27906976744186,0.0952083436545325,0.00208676795847248,2.91381709713666,550.786558875292
50,0.986311059030941,0,2.2,0.0947326808858549,0.00207369360674457,2.97827597368823,542.443205465498
46,0.984246687893108,0,2.15217391304348,0.0965465370057855,0.00204394153344875,2.97487911472338,545.509488795212
46,0.984919149761747,0,2.15217391304348,0.0960151695420617,0.00202584062607784,2.95042357671856,545.718457228234
49,1.00873657867173,0,2.26530612244898,0.0969887604890425,0.00204703179116145,2.91726460509699,548.783067141934
49,0.996159808737343,0,2.30612244897959,0.0969650588369174,0.00207085453182778,2.90894685464295,552.822092554126
48,0.999714586360448,0,2.29166666666667,0.0967685538541793,0.00206109925122177,2.90704991411468,549.355727086991
52,0.996284554564045,0,2.28846153846154,0.0967484153067644,0.00206189334006803,2.93578791292449,549.879527278608
67,1.01224135558065,0,2.41791044776119,0.0986379260637878,0.00207376857039058,2.93631230768364,549.113486999371
66,0.996446764707074,0,2.42424242424242,0.0984069411454743,0.00205377423700943,2.9359902904075,547.365244069983
63,0.998274863136017,0,2.42857142857143,0.0982839161961596,0.00205814884398249,2.93380049610819,553.25706254661
53,0.997949365614511,0,2.50943396226415,0.0979601267992086,0.00206912032397919,2.92131002367577,544.437640385593
53,0.997949365614511,0,2.50943396226415,0.0979601267992086,0.00206912032397919,2.92131002367577,544.437640385593
58,0.991322523729297,0,2.51724137931034,0.0974279975527465,0.00207925370658272,2.91336119761206,538.143944085729
63,0.987985480226501,0,2.6031746031746,0.0987168488826678,0.00207919032192801,2.87365602193332,540.631430213635
64,0.981210050293349,0,2.546875,0.0989124038842689,0.00210276516211329,2.8734841778037,543.525263902036
65,0.981637193318143,0,2.61538461538462,0.0975599865250497,0.00209806600411835,2.92360010362545,542.82483363716
69,0.994044882507902,0,2.53623188405797,0.0961696751009414,0.00208453721040618,2.91844499002196,541.192332123981
74,0.996132469109484,0,2.60810810810811,0.0955720383549027,0.00205935446835607,2.93740091221648,540.921167338624
81,0.993928859289751,0,2.55555555555556,0.0953516767538448,0.00205664512569646,2.94472356866531,527.318424358855
88,0.986224377908189,0,2.57954545454545,0.0948497194680521,0.0020520539804104,2.91339324382707,523.909041562061
86,0.98508890980581,0,2.55813953488372,0.0958102947983114,0.00203514493195765,2.92356614980494,525.861265675149
85,0.988805072902005,0,2.55294117647059,0.0951595784392743,0.00204592072269963,2.93573524052485,527.286880877262
95,0.983703540374785,0,2.51578947368421,0.0979660024220656,0.00203875126175031,2.92954766720132,530.04280552103
91,0.968425579738166,0,2.56043956043956,0.0953843847412153,0.00202369175464975,2.93097213485786,506.823271977483
91,0.979144661574732,0,2.61538461538462,0.096523337823362,0.0020298555845801,2.96280137547645,506.238787665946
95,0.965084148840559,0,2.66315789473684,0.0965755216730696,0.00201499633795405,2.92361145772423,508.189008573125
95,0.983253739727404,0,2.71578947368421,0.0973785784154132,0.00200085290093662,2.87601612049676,521.174348786362
95,0.977436379261539,0,2.6421052631579,0.0967650001747003,0.00199555768558545,2.95961588366552,520.314393473553
90,0.962707706789497,0,2.64444444444444,0.0948224676246522,0.00199029149977061,2.94786132911311,519.919517075701
85,0.978334273678078,0,2.68235294117647,0.0947205355690292,0.00197737512843329,2.9650400655111,520.964751949188
82,0.967170468836536,0,2.76829268292683,0.0971201692602517,0.0020023556299592,2.9799936467762,509.125258641304
76,0.983673147361675,0,2.76315789473684,0.0970276666996673,0.00195137734958035,2.96981185080932,510.880671207991
69,0.989556153029356,0,2.72463768115942,0.095168302257054,0.00197065908767647,2.9704023009593,516.319117993179
75,0.982775053002348,0,2.8,0.0956080238520051,0.00195628987501555,2.96821571542262,513.034906109265
68,0.989388323577916,0,2.94117647058824,0.0958241295698778,0.00199527270719683,2.89372339534151,496.502348409821
61,0.998372344790523,0,2.85245901639344,0.0964881328844891,0.00201462324130468,2.96088516193578,496.101524169534
54,1.00089437840472,0,2.7962962962963,0.0976904384645193,0.0019961963814815,2.99700299818996,512.479612154706
49,0.984186886042114,0,2.77551020408163,0.0961747297347433,0.00201129400864373,3.03896184924899,506.635510826099
48,0.989214134593826,0,2.75,0.0969723623875726,0.0020629237972528,3.07499556505943,513.180322386595
41,0.988927447047836,0,2.68292682926829,0.0946398848949101,0.00207194402919342,3.1476247275515,510.18309592606
37,0.986175839201462,0,2.72972972972973,0.0928731241155285,0.00206372373492336,3.13802836034483,500.623526709748
42,0.962951200449983,0,2.80952380952381,0.0917953358626777,0.00205961796193464,3.17602031784757,472.510740048473
30,0.994830517204427,0,2.8,0.0932693096918562,0.00204494570224387,3.25793390746802,477.626468534273
31,0.96058344218897,0,3.03225806451613,0.0931052287611757,0.0021233369450081,3.25371195664602,442.850661602859
29,0.978970749081674,0,2.93103448275862,0.0934641244791098,0.00214019091539324,3.2531839534107,455.470378917725
26,1.00996448268217,0,2.80769230769231,0.0923048785981225,0.00207833490195336,3.26263457605949,476.223094590358
26,1.00996448268217,0,2.80769230769231,0.0923048785981225,0.00207833490195336,3.26263457605949,476.223094590358
28,1.0186290064201,0,2.75,0.0898515844571773,0.00207034889499593,3.26708839433914,481.742450117847
30,0.965804897175015,0,2.83333333333333,0.0904180572874292,0.00205238655874388,3.2515252152343,449.121750924985
25,1.03311977415581,0,2.84,0.0917655468311014,0.00209975328259489,3.2763252460888,470.013587175315
23,1.0657739491129,0,2.69565217391304,0.091175883771919,0.00210859343697497,3.31322935286502,480.171452011877
22,1.05488306607663,0,2.77272727272727,0.0922454293243679,0.00209824582746259,3.32209427918549,475.52146440677
20,1.0554605310014,0,2.7,0.0886860303139535,0.00211094408110779,3.40335194814454,467.326652669055
20,1.0554605310014,0,2.7,0.0886860303139535,0.00211094408110779,3.40335194814454,467.326652669055
18,1.03367691424028,0,2.66666666666667,0.0875910327092264,0.00210557688602081,3.41171203142685,462.013848822463
17,1.03468356884938,0,2.76470588235294,0.0863832007300496,0.00209141664158271,3.36102618318223,457.567856917835
15,1.03758430681384,0,2.86666666666667,0.0860674359527469,0.00205777870625325,3.36948135707715,438.76711070194
19,0.986701513876247,0,2.94736842105263,0.0841249240423965,0.00208062101244181,3.33604323042595,395.628492514876
14,1.05269574500829,0,2.92857142857143,0.0842559086684872,0.00207087863112981,3.412314459573,448.108388774359
13,1.04924120360691,0,2.92307692307692,0.0848863262268528,0.00205641480050756,3.29010618023426,459.276003341396
13,1.04924120360691,0,2.92307692307692,0.0848863262268528,0.00205641480050756,3.29010618023426,459.276003341396
9,1.09884448836813,0,2.55555555555556,0.0804133470065265,0.00206550647114579,3.47456570957084,472.46476221806
8,1.11369980749109,0,2.5,0.0757310832588413,0.00204521626199695,3.47286101167391,486.689421620927
7,1.16418428233723,0,2.57142857142857,0.0787814448767822,0.00196520422125506,3.60839021863748,504.173845729807
6,1.16546782698901,0,2.66666666666667,0.0788725749072093,0.00200096437037023,3.67005400971371,535.781829464525
5,1.2188261007502,0,2.8,0.0790001569498074,0.0019627775095808,3.27590468131304,522.93819535743
4,1.21342888215401,0,2.75,0.0731525427436788,0.0019875126953325,3.36157780180358,562.598130982095
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
2,1.07824150721329,0,2.5,0.0705479268550769,0.00174770776236468,4.99002429978909,518.620970075975
1,1,0,2,0.0644008923304201,0.00175064332656407,4.48869449377262,437.241940151951
1,1,0,2,0.0644008923304201,0.00175064332656407,4.48869449377262,437.241940151951
