Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius
40,0,3,0,2,10,13,30,20
40,0,3,0,2,10,13,30,20
40,0,3,0,2,10,13,30,20
40,0,3,0,2,10,13,30,20
40,0,3,0,2,10,13,30,20
40,0,3,0,2,10,13,30,20
38,0,3,0,2,10,13,30,20
37,0,3,0,2,10,13,30,20
9,0,3,0,2,10,13,30,20
7,0,3,0,2,10,13,30,20
3,0,3,0,2,10,13,30,20
40,0,3.01603867262507,0,2,10.0152054898423,13.0079123022846,30.5567168614925,20.1676700313393
40,0,3.01603867262507,0,2,10.0152054898423,13.0079123022846,30.5567168614925,20.1676700313393
40,0,3.01603867262507,0,2,10.0152054898423,13.0079123022846,30.5567168614925,20.1676700313393
40,0,3.01603867262507,0,2,10.0152054898423,13.0079123022846,30.5567168614925,20.1676700313393
40,0,3.01603867262507,0,2,10.0152054898423,13.0079123022846,30.5567168614925,20.1676700313393
40,0,3.01603867262507,0,2,10.0152054898423,13.0079123022846,30.5567168614925,20.1676700313393
37,0,3.01733910554062,0,2,10.0164383673971,13.0085538403076,30.6018560664784,20.1812648987452
36,2,2.99269912220318,0,2,10.0168949887137,13.0087914469828,30.6185742905472,20.1863000348214
5,2,3.12830938100057,0,2,10,13,30,20
4,2,3.00838056644131,0,2,10,13,30,20
1,2,3,0,2,10,13,30,20
1,2,3,0,2,10,13,30,20
1,2,3,0,2,10,13,30,20
40,0,3.00837762072343,0,2.0038242005464,9.86751578518144,13.0550011785039,31.6034695176914,20.4981161859379
40,0,3.00837762072343,0,2.0038242005464,9.86751578518144,13.0550011785039,31.6034695176914,20.4981161859379
46,6,2.98212406996079,0,2.00332539177948,9.91994870950832,13.0478271117425,31.3943213197317,20.4331445095113
46,6,2.98212406996079,0,2.00332539177948,9.91994870950832,13.0478271117425,31.3943213197317,20.4331445095113
46,6,2.98212406996079,0,2.00332539177948,9.91994870950832,13.0478271117425,31.3943213197317,20.4331445095113
38,6,3.02316529917216,0,2.00402547425937,9.86054293176994,13.0578959773725,31.6878626502015,20.5243328273031
32,6,3.02646122196178,0,2.004780250683,9.8343947314768,13.0189206870716,32.0043368971143,20.6226452324224
28,6,3.02904417275042,0,2.00546314363771,9.83991251443151,12.9990170644117,32.2906707395592,20.232537318942
6,6,3.11809857275555,0,2.02549467030932,10,13,30,19.1157550138324
5,6,3.14171828730666,0,2.03059360437119,10,13,30,18.9389060165989
2,6,3.03352226576523,0,2.07648401092797,10,13,30,17.3472650414973
1,6,3.03352226576523,0,2,10,13,30,20
1,6,3.03352226576523,0,2,10,13,30,20
40,0,3.01771478591333,0,1.99800920294919,9.97678207117396,12.9726443632342,31.813622558522,22.2986906142634
40,0,3.01771478591333,0,1.99800920294919,9.97678207117396,12.9726443632342,31.813622558522,22.2986906142634
42,2,2.98631528776592,0,1.99810400280875,9.97788768683234,12.898955532152,31.7272595795448,22.1892291564414
42,2,2.98631528776592,0,1.99810400280875,9.97788768683234,12.898955532152,31.7272595795448,22.1892291564414
42,2,2.98631528776592,0,1.99810400280875,9.97788768683234,12.898955532152,31.7272595795448,22.1892291564414
38,2,3.01864714306667,0,1.99994854314365,9.97556007491996,13.0126472531279,31.4900239087188,22.3861638253916
33,2,3.02045664153843,0,1.99530535204857,9.97185705596844,12.9953821647302,31.7157851070095,22.4689509742665
26,2,3.00257863582809,0,1.99404140836934,10,13.1339005002001,32.1777272512043,22.8757146498932
3,2,3,0,2,10,13,29.5082535820961,20
40,0,3.02588763302304,0,1.99830963680036,9.91705774733892,13.1978075571138,29.5756480072314,24.1580335707289
40,0,3.02588763302304,0,1.99830963680036,9.91705774733892,13.1978075571138,29.5756480072314,24.1580335707289
40,0,3.02588763302304,0,1.99830963680036,9.91705774733892,13.1978075571138,29.5756480072314,24.1580335707289
40,0,3.02588763302304,0,1.99830963680036,9.91705774733892,13.1978075571138,29.5756480072314,24.1580335707289
40,0,3.02588763302304,0,1.99830963680036,9.91705774733892,13.1978075571138,29.5756480072314,24.1580335707289
39,0,3.02655141848517,0,1.99826629415421,9.91493102291171,13.1947643639275,29.564767186904,24.0926805532202
35,0,3.02958586631204,0,1.99806815634327,9.958278405704,13.207980517194,29.7824123479021,24.368792580629
33,2,3.03036312288353,0,2,9.98389276826308,13.2397667358956,29.8139294372814,25.0400406917927
2,2,3.01676113288261,0,2,10,13,30,20
40,0,3.00419028322065,0,1.99798411674571,9.79103864056565,13.1898952548293,28.5244645878577,24.2512038320867
40,0,3.00419028322065,0,1.99798411674571,9.79103864056565,13.1898952548293,28.5244645878577,24.2512038320867
40,0,3.00419028322065,0,1.99798411674571,9.79103864056565,13.1898952548293,28.5244645878577,24.2512038320867
40,0,3.00419028322065,0,1.99798411674571,9.79103864056565,13.1898952548293,28.5244645878577,24.2512038320867
40,0,3.00419028322065,0,1.99798411674571,9.79103864056565,13.1898952548293,28.5244645878577,24.2512038320867
41,2,3.00408808119088,0,1.99803328462996,9.79613525908844,13.1929829825501,28.7512370071599,24.3110964521229
39,2,3.00429772638016,0,1.99793242743149,9.80949391732481,13.1947643639275,28.6871978793219,24.3602090585504
30,2,3.00446963543536,0,2.00181979085998,9.84521380782641,13.2109947275881,28.4419746884578,24.8654459215881
3,4,3.02234817717682,0,2,10,13,30,20
2,4,3.01676113288261,0,2,10,13,30,20
40,0,3.0303235170804,0,2.02234866462837,9.68065456026569,13.1622102903655,29.8464917857572,23.8111179964267
40,0,3.0303235170804,0,2.02234866462837,9.68065456026569,13.1622102903655,29.8464917857572,23.8111179964267
42,2,3.02887954007657,0,2.01806470307532,9.65163685963201,13.1544859908243,29.8538017007211,23.629636187073
42,2,3.02887954007657,0,2.01806470307532,9.65163685963201,13.1544859908243,29.8538017007211,23.629636187073
42,2,3.02887954007657,0,2.01806470307532,9.65163685963201,13.1544859908243,29.8538017007211,23.629636187073
40,4,3.0303235170804,0,2.02403902782801,9.70387248909173,13.17012259265,29.8464917857572,23.9787880277659
42,6,3.02887954007657,0,2.02289431221715,9.71797379913498,13.1770925687801,29.8538017007211,24.1086934194709
26,6,2.99961087422461,0,2.02140182858178,9.68729877599366,13.1765176563972,29.7638335165495,24.2407905146724
1,6,3,0,2,10,13.3164920913822,30,26.706801253571
40,0,3,0,1.98196174318501,9.53547703018212,13.3555025697396,29.1852533262771,23.1184477822166
40,0,3,0,1.98196174318501,9.53547703018212,13.3555025697396,29.1852533262771,23.1184477822166
42,2,3,0,1.98294985475846,9.49232218897835,13.3385738759425,29.2240507869305,22.9699502687777
42,2,3,0,1.98294985475846,9.49232218897835,13.3385738759425,29.2240507869305,22.9699502687777
42,2,3,0,1.98294985475846,9.49232218897835,13.3385738759425,29.2240507869305,22.9699502687777
38,2,3,0,1.98279169093121,9.55990830298336,13.3742132313049,29.1423719223969,23.2825766128596
35,2,3,0,1.98131669301103,9.52218615752479,13.2948007687585,29.5808296770021,22.9890716436558
33,2,3,0,1.98018437137534,9.54951363089245,13.3126674820166,29.5554254150022,23.170227500847
3,2,3,0,2,10.5202834433439,13.3164920913822,27.9532238100955,26.706801253571
1,2,3,0,2,10,13.3164920913822,30,26.706801253571
1,2,3,0,2,10,13.3164920913822,30,26.706801253571
1,2,3,0,2,10,13.3164920913822,30,26.706801253571
40,0,2.98040805327912,0,1.95605055680932,9.36307908983799,13.124372434576,29.4284931345991,21.5875713451205
40,0,2.98040805327912,0,1.95605055680932,9.36307908983799,13.124372434576,29.4284931345991,21.5875713451205
44,4,2.94861582539551,0,1.95389918546433,9.37399887933686,13.1250392465002,29.1249637365553,21.4432466773823
44,4,2.94861582539551,0,1.95389918546433,9.37399887933686,13.1250392465002,29.1249637365553,21.4432466773823
44,4,2.94861582539551,0,1.95389918546433,9.37399887933686,13.1250392465002,29.1249637365553,21.4432466773823
35,4,2.99871242965845,0,1.95749943955187,9.35469155288434,13.1330972940474,29.5702967391924,21.6227443586072
33,4,2.9986343950923,0,1.95492364800956,9.31558195002884,13.1219824578453,29.690889194954,21.3146196983063
30,4,2.99849783460153,0,1.95492364800956,9.34001186033588,13.1341807036298,29.336808222981,21.446081668137
4,4,3,0,2,10,13.3164920913822,28.1804189230391,26.706801253571
3,4,3,0,2,10,13.3164920913822,27.5738918973855,26.706801253571
2,4,3,0,2,10,13.3164920913822,26.9298357151433,26.706801253571
2,4,3,0,2,10,13.3164920913822,26.9298357151433,26.706801253571
2,4,3,0,2,10,13.3164920913822,26.9298357151433,26.706801253571
40,0,3,0,1.9586968410018,9.3058128153733,13.2373975674335,29.6914235206269,20.8416188267103
40,0,3,0,1.9586968410018,9.3058128153733,13.2373975674335,29.6914235206269,20.8416188267103
40,0,3,0,1.9586968410018,9.3058128153733,13.2373975674335,29.6914235206269,20.8416188267103
40,0,3,0,1.9586968410018,9.3058128153733,13.2373975674335,29.6914235206269,20.8416188267103
40,0,3,0,1.9586968410018,9.3058128153733,13.2373975674335,29.6914235206269,20.8416188267103
40,0,3,0,1.9586968410018,9.3058128153733,13.2373975674335,29.6914235206269,20.8416188267103
37,0,3,0,1.96083019524403,9.32482875875829,13.2424073847127,29.4618496417561,20.9411374620133
34,0,3,0,1.96135136117648,9.3198852464747,13.2544876806761,29.414365786617,20.8269201423801
6,0,3,0,2,10.260141721672,14.2214803259924,27.7635578537405,26.706801253571
6,0,3,0,2,10.260141721672,14.2214803259924,27.7635578537405,26.706801253571
5,0,3,0,2,10,14.4024779729144,28.5443351384313,26.706801253571
5,0,3,0,2,10,14.4024779729144,28.5443351384313,26.706801253571
3,0,3,0,2,10,14.5231430708624,27.9532238100955,26.706801253571
40,0,2.98657993505514,0,1.96344891236401,9.3093291455835,13.0358181915405,29.2747909581182,21.0688094605577
40,0,2.98657993505514,0,1.96344891236401,9.3093291455835,13.0358181915405,29.2747909581182,21.0688094605577
42,2,3.00159613663448,0,1.96196970091879,9.29799360755373,13.0341125633719,29.1149520281975,21.0179137719597
42,2,3.00159613663448,0,1.96196970091879,9.29799360755373,13.0341125633719,29.1149520281975,21.0179137719597
42,2,3.00159613663448,0,1.96196970091879,9.29799360755373,13.0341125633719,29.1149520281975,21.0179137719597
38,2,2.98587361584752,0,1.96508383027715,9.32185789814271,13.0377033595163,29.3144443013489,21.1250625900608
36,2,2.98508881672793,0,1.95321218109142,9.29832293312765,13.0574134475295,29.389741945041,21.0736636832479
33,2,2.98373325461229,0,1.95280354442544,9.31896294096121,13.0626328518504,29.4236469641174,21.2063401703941
5,2,3,0,2,10,15.0153051208984,28.7719342860573,25.5811338173143
5,2,3,0,2,10,15.0153051208984,28.7719342860573,25.5811338173143
5,2,3,0,2,10,15.0153051208984,28.7719342860573,25.5811338173143
5,2,3,0,2,10,15.0153051208984,28.7719342860573,25.5811338173143
3,2,3,0,2,10,14.5231430708624,27.9532238100955,26.706801253571
40,0,2.98521679425224,0,1.96366911546368,9.53800364299423,13.922350806065,28.1812041770027,21.7994013002758
40,0,2.98521679425224,0,1.96366911546368,9.53800364299423,13.922350806065,28.1812041770027,21.7994013002758
40,0,2.98521679425224,0,1.96366911546368,9.53800364299423,13.922350806065,28.1812041770027,21.7994013002758
42,2,2.9859207564307,0,1.96217941815657,9.515778843183,13.8784293391095,28.4663602257197,21.6586044275922
42,2,2.9859207564307,0,1.96217941815657,9.515778843183,13.8784293391095,28.4663602257197,21.6586044275922
42,2,2.9859207564307,0,1.96217941815657,9.515778843183,13.8784293391095,28.4663602257197,21.6586044275922
34,2,2.98260799323793,0,1.96619273600717,9.59305092602873,13.9856883650381,28.0977695761969,21.8724584660866
24,2,2.96817745941982,0,1.97464455200538,9.73306119622121,14.3700175095222,28.3879172196119,22.1901938079985
6,2,3,0,1.98873091200239,10.0579310607203,14.5867847343285,28.6481373434388,23.403999161673
4,2,3,0,2,10,15.3010540786472,28.4649178575716,23.8926326629291
4,2,3,0,2,10,15.3010540786472,28.4649178575716,23.8926326629291
4,2,3,0,2,10,15.3010540786472,28.4649178575716,23.8926326629291
3,2,3,0,2,10,14.9411961610956,27.9532238100955,24.8306888598098
40,0,2.93643380834839,0,1.97713225108877,9.92575165723172,14.1301793205485,27.0986351168775,23.6001781231902
40,0,2.93643380834839,0,1.97713225108877,9.92575165723172,14.1301793205485,27.0986351168775,23.6001781231902
40,0,2.93643380834839,0,1.97713225108877,9.92575165723172,14.1301793205485,27.0986351168775,23.6001781231902
40,0,2.93643380834839,0,1.97713225108877,9.92575165723172,14.1301793205485,27.0986351168775,23.6001781231902
40,0,2.93643380834839,0,1.97713225108877,9.92575165723172,14.1301793205485,27.0986351168775,23.6001781231902
39,0,2.93480390599835,0,1.97919552985057,9.923847853571,14.1510430956553,27.1816854678157,23.5205211198471
29,0,2.95402332500179,0,1.98367925186553,9.93675419093399,14.2917813288258,27.6877655577306,23.5376295346147
24,0,2.94444485104383,0,1.98591364000299,9.94779176357524,14.3705095551401,27.4582447964191,23.5135079032651
9,0,2.83491218222829,0,2,10,14.3996281378578,26.5887063501592,25.4560596577302
4,0,3,0,2,10,15.7535481959523,30,23.8926326629291
4,0,3,0,2,10,15.7535481959523,30,23.8926326629291
4,0,3,0,2,10,15.7535481959523,30,23.8926326629291
2,0,3,0,2,10,15.7535481959523,30,23.8926326629291
40,0,3.06072645927739,0,1.98569228522936,9.71643364622497,14.2666952158714,27.6889899012193,23.254908560725
40,0,3.06072645927739,0,1.98569228522936,9.71643364622497,14.2666952158714,27.6889899012193,23.254908560725
44,4,3.05520587207036,0,1.98084621130072,9.65778357356437,14.1515411053376,27.5280065856343,23.0255714786641
44,4,3.05520587207036,0,1.98084621130072,9.65778357356437,14.1515411053376,27.5280065856343,23.0255714786641
44,4,3.05520587207036,0,1.98084621130072,9.65778357356437,14.1515411053376,27.5280065856343,23.0255714786641
38,4,3.06392258871305,0,1.98315991792602,9.68695368020123,14.2131152479544,27.7175289520707,22.9921248739389
30,4,3.10112401388846,0,1.98993831737056,9.77078122548479,14.4446308892967,28.2596180205729,23.0449180908637
23,4,3.15819054183531,0,2.00451463865351,9.94329302968665,14.9222219610315,28.5035875636361,23.2237382342645
7,4,2.87080135412552,0,2.04381146756968,10.0633682230527,14.6296931227764,26.4912408173066,24.2946567473065
3,4,3.50475255370371,0,2,10,16.3806278313021,30,21.0784640722872
1,4,3.75712883055556,0,2,10,16.3806278313021,30,21.0784640722872
1,4,3.75712883055556,0,2,10,16.3806278313021,30,21.0784640722872
1,4,3.75712883055556,0,2,10,16.3806278313021,30,21.0784640722872
40,0,3.24894388979429,0,1.96854809841754,9.73641314904451,14.7229959180778,27.1567456836254,22.1361911315891
40,0,3.24894388979429,0,1.96854809841754,9.73641314904451,14.7229959180778,27.1567456836254,22.1361911315891
42,2,3.2370894188517,0,1.96682606858882,9.7047402775166,14.6759987935985,27.0742093459868,22.0344677443706
42,2,3.2370894188517,0,1.96682606858882,9.7047402775166,14.6759987935985,27.0742093459868,22.0344677443706
42,2,3.2370894188517,0,1.96682606858882,9.7047402775166,14.6759987935985,27.0742093459868,22.0344677443706
38,2,3.26204619978346,0,1.97045139454402,9.77142000704904,14.8136799137661,27.3183889837219,22.2555629721777
33,2,3.27539221435748,0,1.97007218329225,9.72520475617847,14.8900196958436,27.456607999623,22.1199401841326
28,2,3.34616446854839,0,1.97438714859239,9.80880805593055,15.2162199239805,28.0666535939324,22.2589723151002
3,2,3.50475255370371,0,2,9.97260302468814,16.3806278313021,30,21.0784640722872
3,2,3.50475255370371,0,2,9.97260302468814,16.3806278313021,30,21.0784640722872
1,2,3.75712883055556,0,2,10,16.3806278313021,30,21.0784640722872
1,2,3.75712883055556,0,2,10,16.3806278313021,30,21.0784640722872
1,2,3.75712883055556,0,2,10,16.3806278313021,30,21.0784640722872
40,0,3.23009661350738,0,1.96719555137649,9.72344078034295,15.0505648585272,27.1630854554901,22.6885833502288
40,0,3.23009661350738,0,1.96719555137649,9.72344078034295,15.0505648585272,27.1630854554901,22.6885833502288
40,0,3.23009661350738,0,1.96719555137649,9.72344078034295,15.0505648585272,27.1630854554901,22.6885833502288
40,0,3.23009661350738,0,1.96719555137649,9.72344078034295,15.0505648585272,27.1630854554901,22.6885833502288
40,0,3.23009661350738,0,1.96719555137649,9.72344078034295,15.0505648585272,27.1630854554901,22.6885833502288
39,0,3.21760304634149,0,1.9663544116682,9.71634951830046,15.0164606797381,27.090344056913,22.5396855669297
35,0,3.2381157720663,0,1.9663728888866,9.73700187199431,15.1412813310601,27.2712200235924,22.6074991938401
29,0,3.29908839984352,0,1.96174709100058,9.71351203736804,15.2641798915989,27.5457987432098,22.1230347259487
10,0,3.40905777227727,0,2,9.99178090740644,15.9250904627166,28.8876339941186,21.0200359734435
5,0,3.75712883055556,0,2,9.98356181481288,16.3806278313021,30.2313994161226,19.1839112161265
4,0,3.75712883055556,0,2,9.9794522685161,16.3806278313021,30.2892492701532,19.3023207696365
