Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
18,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
16,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
14,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
13,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
9,3,0,2.1,4,13,30,25,22,3.0320764048898,1,2.02559838060511,3.91317638369873,12.6986213125278,29.8097262860662,24.8765612977364
8,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
6,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
5,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
3,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
3,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
1,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
0,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
0,3,0,2.1,4,13,30,25,24,3.04836322009471,1,2.02494580381538,3.93005367152029,12.6996576698459,29.5211946373068,24.5215965239866
0,3,0,2.1,4,13,30,25,26,2.97597726387993,1,2.02443048252224,3.92876375442289,12.7344919406744,28.5865980863445,24.5430947158228
0,3,0,2.1,4,13,30,25,26,2.97597726387993,1,2.02443048252224,3.92876375442289,12.7344919406744,28.5865980863445,24.5430947158228
