Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-infant factor,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,0.1,10,20,30,25,20,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
15,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
12,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
12,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
12,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
14,3.00140239664125,0,2.094285652801,0.0977978046506068,9.98391733913831,20.3372761455423,29.4866434987294,25.9340771831235,0,2,1,2,0.1,11,20,30,25
16,2.98673111175412,0,1.95833209093348,0.096792383730207,10.2036301969404,19.6316802278284,30.5151856502725,24.7945466714321,0,2,1,2,0.1,11,20,30,25
11,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
10,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
10,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
12,3.05050156211351,0,2.16169710249332,0.0996532699981048,10.1382718954521,20.5028468512786,29.9746225877449,24.640510623224,0,2,1,2,0.1,11,20,30,25
10,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
9,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
8,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
8,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
8,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
0,3,0,2.1,0.1,10,20,30,25,0,2,1,2,0.1,11,20,30,25
