Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
20,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
19,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
19,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
19,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
19,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
15,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
14,3,0,2.1,5,13,30,25,20,3,1,2,3,13,30,25
14,3,0,2.1,5,13,30,25,22,3.00128202136169,1,2.00075246760012,2.94546019524676,12.7260024911553,30.1204765783052,25.2194723976369
13,3,0,2.1,5,13,30,25,22,3.00128202136169,1,2.00075246760012,2.94546019524676,12.7260024911553,30.1204765783052,25.2194723976369
12,3,0,2.1,5,13,30,25,18,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,4,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,4,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,4,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,4,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,4,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,3,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,3,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,3,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,3,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,3,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,3,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,3,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
0,3,0,2.1,5,13,30,25,0,3,1,2,3,13,30,25
