Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-infant factor,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,0.1,10,20,30,25,20,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,10,20,30,25,20,2,1,2,0.1,11,20,30,25
18,3,0,2.1,0.1,10,20,30,25,2,2,1,2,0.1,11,20,30,25
18,3,0,2.1,0.1,10,20,30,25,2,2,1,2,0.1,11,20,30,25
18,3,0,2.1,0.1,10,20,30,25,2,2,1,2,0.1,11,20,30,25
18,3,0,2.1,0.1,10,20,30,25,2,2,1,2,0.1,11,20,30,25
18,3,0,2.1,0.1,10,20,30,25,2,2,1,2,0.1,11,20,30,25
18,3,0,2.1,0.1,10,20,30,25,2,2,1,2,0.1,11,20,30,25
17,3,0,2.1,0.1,10,20,30,25,2,2,1,2,0.1,11,20,30,25
27,2.91307200656113,0,2.07480547919316,0.104418937766686,10.2148071814234,20.3714629907716,30.5898468152756,25.3854033474912,2,2,1,2,0.1,11,20,30,25
26,2.90972862219809,0,2.07383645916213,0.104588896911558,10.2230689960936,20.3857500288782,30.6125332312478,25.4002265531639,2,2,1,2,0.1,11,20,30,25
26,2.90972862219809,0,2.07383645916213,0.104588896911558,10.2230689960936,20.3857500288782,30.6125332312478,25.4002265531639,2,2,1,2,0.1,11,20,30,25
