Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-infant factor,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,0.1,10,20,30,25,20,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,10,20,30,25,20,2,1,2,0.1,11,20,30,25
18,3,0,2.1,0.1,10,20,30,25,20,2,1,2,0.1,11,20,30,25
16,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
15,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
15,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
15,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
13,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
13,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
13,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
13,3,0,2.1,0.1,10,20,30,25,3,2,1,2,0.1,11,20,30,25
15,3.00202804814883,0,2.04758235934645,0.099752510318636,10.1568776391976,19.8362865220429,29.7235806360574,25.2228640686595,3,2,1,2,0.1,11,20,30,25
15,3.00202804814883,0,2.04758235934645,0.099752510318636,10.1568776391976,19.8362865220429,29.7235806360574,25.2228640686595,2,2,1,2,0.1,11,20,30,25
15,3.00202804814883,0,2.04758235934645,0.099752510318636,10.1568776391976,19.8362865220429,29.7235806360574,25.2228640686595,2,2,1,2,0.1,11,20,30,25
14,3.00737611556966,0,2.10737232711465,0.100964420659138,10.0767705795723,19.7238378324435,30.0846363715736,25.1244718506387,2,2,1,2,0.1,11,20,30,25
15,2.97149065067908,0,2.16153076319491,0.0984129464756014,9.97739904959718,20.0040255390749,30.4006605549705,24.5912892794379,2,2,1,2,0.1,11,20,30,25
13,2.9671045969374,0,2.17099703445566,0.0981687843949247,9.97392198030444,20.0046448527787,30.4623006403506,24.5284107070437,2,2,1,2,0.1,11,20,30,25
12,2.96436331334885,0,2.17691345399364,0.0980161830945018,9.97174881199647,20.0050319238436,30.5008256937132,24.4891115992974,2,2,1,2,0.1,11,20,30,25
11,2.9730920197815,0,2.16299299796535,0.0977104266021919,9.96768210592898,19.9106454003669,30.771345849067,23.8262104643961,2,2,1,2,0.1,11,20,30,25
10,2.96994468144875,0,2.13808364343914,0.0978931373700138,10.1871401865133,20.1328630993603,30.3636543790106,24.7705574186194,2,2,1,2,0.1,11,20,30,25
9,2.96660520160972,0,2.14231515937682,0.0976590415222376,10.2079335405703,20.1476256659558,30.4040604211229,24.7450637984659,2,2,1,2,0.1,11,20,30,25
9,2.96660520160972,0,2.14231515937682,0.0976590415222376,10.2079335405703,20.1476256659558,30.4040604211229,24.7450637984659,2,2,1,2,0.1,11,20,30,25
7,2.95706383064107,0,2.15440520491305,0.0969901962428769,10.2673431235904,20.1898044276575,30.5195062557295,24.6722248837419,2,2,1,2,0.1,11,20,30,25
7,2.95706383064107,0,2.15440520491305,0.0969901962428769,10.2673431235904,20.1898044276575,30.5195062557295,24.6722248837419,2,2,1,2,0.1,11,20,30,25
7,2.95706383064107,0,2.15440520491305,0.0969901962428769,10.2673431235904,20.1898044276575,30.5195062557295,24.6722248837419,2,2,1,2,0.1,11,20,30,25
7,2.95706383064107,0,2.15440520491305,0.0969901962428769,10.2673431235904,20.1898044276575,30.5195062557295,24.6722248837419,2,2,1,2,0.1,11,20,30,25
6,2.94990780241459,0,2.16347273906523,0.0964885622833564,10.3119003108555,20.2214384989338,30.6060906316844,24.6175956976989,2,2,1,2,0.1,11,20,30,25
6,2.94990780241459,0,2.16347273906523,0.0964885622833564,10.3119003108555,20.2214384989338,30.6060906316844,24.6175956976989,2,2,1,2,0.1,11,20,30,25
5,2.9398893628975,0,2.17616728687827,0.0957862747400277,10.3742803730266,20.2657261987205,30.7273087580213,24.5411148372387,1,2,1,2,0.1,11,20,30,25
5,2.9398893628975,0,2.17616728687827,0.0957862747400277,10.3742803730266,20.2657261987205,30.7273087580213,24.5411148372387,1,2,1,2,0.1,11,20,30,25
5,2.9398893628975,0,2.17616728687827,0.0957862747400277,10.3742803730266,20.2657261987205,30.7273087580213,24.5411148372387,1,2,1,2,0.1,11,20,30,25
5,2.9398893628975,0,2.17616728687827,0.0957862747400277,10.3742803730266,20.2657261987205,30.7273087580213,24.5411148372387,1,2,1,2,0.1,11,20,30,25
5,2.9398893628975,0,2.17616728687827,0.0957862747400277,10.3742803730266,20.2657261987205,30.7273087580213,24.5411148372387,1,2,1,2,0.1,11,20,30,25
5,2.9398893628975,0,2.17616728687827,0.0957862747400277,10.3742803730266,20.2657261987205,30.7273087580213,24.5411148372387,1,2,1,2,0.1,11,20,30,25
4,2.92486170362188,0,2.19520910859784,0.0947328434250347,10.4678504662832,20.3321577484006,30.9091359475266,24.4263935465484,1,2,1,2,0.1,11,20,30,25
