Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
19,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
18,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
17,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
13,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
12,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
12,2.94767918156346,0,2.15256966754901,3.86770187348774,13.1751685751999,29.1627668882293,25.3854785982228,12,3,1,2,4,13,30,25
8,2.92151877234518,0,2.17885450132351,3.80155281023162,13.2627528627999,28.744150332344,25.5782178973341,2,3,1,2,4,13,30,25
5,2.99176670407661,0,2.19721215396677,4.0227183428154,12.4527769663148,27.7905518912814,26.5588730320172,1,3,1,2,4,13,30,25
5,2.99176670407661,0,2.19721215396677,4.0227183428154,12.4527769663148,27.7905518912814,26.5588730320172,1,3,1,2,4,13,30,25
4,2.98781558887833,0,2.09621927053288,3.97681036852051,12.4806652266532,28.6244591944739,25.1001430136548,1,3,1,2,4,13,30,25
3,3,0,2.1,4,13,30,25,1,3,1,2,4,13,30,25
3,3,0,2.1,4,13,30,25,1,3,1,2,4,13,30,25
3,3,0,2.1,4,13,30,25,0,3,1,2,4,13,30,25
3,3,0,2.1,4,13,30,25,0,3,1,2,4,13,30,25
3,3,0,2.1,4,13,30,25,0,3,1,2,4,13,30,25
2,3,0,2.1,4,13,30,25,0,3,1,2,4,13,30,25
2,3,0,2.1,4,13,30,25,0,3,1,2,4,13,30,25
2,3,0,2.1,4,13,30,25,0,3,1,2,4,13,30,25
0,3,0,2.1,4,13,30,25,0,3,1,2,4,13,30,25
