FoodClose-pHeat,FoodClose-pHunger,FoodClose-pThirst,FoodClose-pFear,FoodFar-pHeat,FoodFar-pHunger,FoodFar-pThirst,FoodFar-pFear,FoodPresenceHigh-pHeat,FoodPresenceHigh-pHunger,FoodPresenceHigh-pThirst,FoodPresenceHigh-pFear,FoodPresenceLow-pHeat,FoodPresenceLow-pHunger,FoodPresenceLow-pThirst,FoodPresenceLow-pFear,WaterClose-pHeat,WaterClose-pHunger,WaterClose-pThirst,WaterClose-pFear,WaterFar-pHeat,WaterFar-pHunger,WaterFar-pThirst,WaterFar-pFear,WaterPresenceHigh-pHeat,WaterPresenceHigh-pHunger,WaterPresenceHigh-pThirst,WaterPresenceHigh-pFear,WaterPresenceLow-pHeat,WaterPresenceLow-pHunger,WaterPresenceLow-pThirst,WaterPresenceLow-pFear,MateClose-pHeat,MateClose-pHunger,MateClose-pThirst,MateClose-pFear,MateFar-pHeat,MateFar-pHunger,MateFar-pThirst,MateFar-pFear,MatePresenceHigh-pHeat,MatePresenceHigh-pHunger,MatePresenceHigh-pThirst,MatePresenceHigh-pFear,MatePresenceLow-pHeat,MatePresenceLow-pHunger,MatePresenceLow-pThirst,MatePresenceLow-pFear,FoeClose-pHeat,FoeClose-pHunger,FoeClose-pThirst,FoeClose-pFear,FoeFar-pHeat,FoeFar-pHunger,FoeFar-pThirst,FoeFar-pFear,Fertile-pHeat,Fertile-pHunger,Fertile-pThirst,Fertile-pFear,NotFertile-pHeat,NotFertile-pHunger,NotFertile-pThirst,NotFertile-pFear,Hungry-pHeat,Hungry-pHunger,Hungry-pThirst,Hungry-pFear,NotHungry-pHeat,NotHungry-pHunger,NotHungry-pThirst,NotHungry-pFear,FoePresenceHigh-pHeat,FoePresenceHigh-pHunger,FoePresenceHigh-pThirst,FoePresenceHigh-pFear,FoePresenceLow-pHeat,FoePresenceLow-pHunger,FoePresenceLow-pThirst,FoePresenceLow-pFear,Thirsty-pHeat,Thirsty-pHunger,Thirsty-pThirst,Thirsty-pFear,NotThirsty-pHeat,NotThirsty-pHunger,NotThirsty-pThirst,NotThirsty-pFear,Fear-pHeat,Fear-pHunger,Fear-pThirst,Fear-pFear,pHeat-pHeat,pHeat-pHunger,pHeat-pThirst,pHeat-pFear,pHunger-pHeat,pHunger-pHunger,pHunger-pThirst,pHunger-pFear,pThirst-pHeat,pThirst-pHunger,pThirst-pThirst,pThirst-pFear,pFear-pHeat,pFear-pHunger,pFear-pThirst,pFear-pFear,pHeat-Idle,pHeat-GoingToFood,pHeat-GoingToWater,pHeat-SearchingForMate,pHeat-Escaping,pHunger-Idle,pHunger-GoingToFood,pHunger-GoingToWater,pHunger-SearchingForMate,pHunger-Escaping,pThirst-Idle,pThirst-GoingToFood,pThirst-GoingToWater,pThirst-SearchingForMate,pThirst-Escaping,pFear-Idle,pFear-GoingToFood,pFear-GoingToWater,pFear-SearchingForMate,pFear-Escaping
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.00691352974079232,0,0.00839874900858624,-0.0105123918400541,-0.0101809300718142,0,0,0,0,0,0,-0.00193546568350261,-0.0100505471265061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00430428133189918,0,0,0,0,-0.0035594558820949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00860262265026576,0,0,0.00216360641802885,0,0,0,0,0,0,0,-0.00998909926419924,0,0.0116660790392929,0,0,0,-0.00106425190656396,0,0,0,0.00454957965017824,0,0,0,0,0,0,0,0,0,-0.00926954071831343,0,0,0,0,0.00263540296757698,0,0,0,-0.00315843908581891,0,0,-0.018707713354078,0,0,0,0,0,0,0,0,0
0,-0.0183707240919847,0,0,-0.00755170923526259,0,0,0,0,0.00537753874123088,0,0,0.00543205908205111,0,0.0065990170781749,-0.00825973644575679,-0.0199820583629568,0,0,0,-0.00899314503660507,0,0,-0.0053163379124328,-0.00789685845654048,0.0112306933423097,-0.00813848468577759,0.00303779915591341,0,0,0.00835744183282597,0,0.00636064660444085,0,0,0,0.000550187693330934,0,0,-0.000543063498663801,-0.0108517548458262,0,0,0,0,-0.00413454120486575,0,-0.0107883550203973,-0.00163365373059243,0,0,0,0,0,0.00260333395427909,0,0,0.00750790411405294,0,-0.00842658677817144,0,0,0,0,0,0,-0.0109415984797238,-0.00681768513700912,0,0,0,0,0,0,0,0.00675920351092309,0,0,0.00169997647130838,-0.00132548033743398,0,0,-0.012153859560775,0,0.0121725551701347,0,-0.0078485779932994,0,0.0091662049594444,-0.00437519319314148,0,0,-0.000836197926585969,-0.00171666559542361,0,0,0.00357466972514004,-0.00531978580635544,0,-0.0149659772195781,0,0.00219189627885947,0.0175659249924082,0,0,0.00107060009989126,-0.00728321056438912,0,0,0,0,0.00207067376023906,0,0,0,-0.00248163071028629,0.00253901354038796,0,-0.014698917635347,0,0,0.000768574913169719,0,0.0183153556182563,0,-0.0030539335831542,0,0
0,-0.0183707240919847,0,0,-0.00755170923526259,0,0,0,0,0.00537753874123088,0,0,0.00543205908205111,0,0.0065990170781749,-0.00825973644575679,-0.0199820583629568,0,0,0,-0.00899314503660507,0,0,-0.0053163379124328,-0.00789685845654048,0.0112306933423097,-0.00813848468577759,0.00303779915591341,0,0,0.00835744183282597,0,0.00636064660444085,0,0,0,0.000550187693330934,0,0,-0.000543063498663801,-0.0108517548458262,0,0,0,0,-0.00413454120486575,0,-0.0107883550203973,-0.00163365373059243,0,0,0,0,0,0.00260333395427909,0,0,0.00750790411405294,0,-0.00842658677817144,0,0,0,0,0,0,-0.0109415984797238,-0.00681768513700912,0,0,0,0,0,0,0,0.00675920351092309,0,0,0.00169997647130838,-0.00132548033743398,0,0,-0.012153859560775,0,0.0121725551701347,0,-0.0078485779932994,0,0.0091662049594444,-0.00437519319314148,0,0,-0.000836197926585969,-0.00171666559542361,0,0,0.00357466972514004,-0.00531978580635544,0,-0.0149659772195781,0,0.00219189627885947,0.0175659249924082,0,0,0.00107060009989126,-0.00728321056438912,0,0,0,0,0.00207067376023906,0,0,0,-0.00248163071028629,0.00253901354038796,0,-0.014698917635347,0,0,0.000768574913169719,0,0.0183153556182563,0,-0.0030539335831542,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.00908542427084384,0,0,0,-0.00719820506459421,0,0,0,0,0,-0.00691255385599561,0,0,0,-0.000862946762851834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00841500772579884,0,0,0,0,0,0,0,0,0,0,0,0,-0.00165775908524426,0,0,0,0,-0.00180847110601241,0,0,0,-0.0110691963202591,0,0.0143407626930026,0,0,0,0,0,0
0,0,0,0,-0.0101542977144725,0,0,0,-0.00804505271925235,0,0,0,0,0,-0.00772579548611275,0,0,0,-0.000964469911422638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00940500863471635,0,0,0,0,0,0,0,0,0,0,0,0,-0.00185278956586123,0,0,0,0,-0.0020212324126021,0,0,0,-0.0123714547108778,0,0.0160279112451206,0,0,0,0,0,0
0,0,0,0,-0.0123302186532881,0,0,0,-0.00976899258766357,0,0,0,0,0,-0.00938132309027976,0,0,0,-0.00117114203529892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114203676278699,0,0,0,0,0,0,0,0,0,0,0,0,-0.00224981590140293,0,0,0,0,-0.00245435364387398,0,0,0,-0.0150224807203516,0,0.0194624636547893,0,0,0,0,0,0
