Fitness,Round duration,Maximum alive animals,Age death ratio,Born animals
179923,191,20,0.0000,0
154886,127,20,0.0000,0
147632,89,20,0.0000,0
160337,126,20,0.0000,0
168302,137,20,0.0000,0
179612,151,20,0.0000,0
232725,185,20,0.0000,0
170323,167,20,0.0000,0
177469,152,20,0.0000,0
171087,138,22,0.0000,2
153764,88,20,0.0000,0
262459,234,20,0.0000,0
167220,145,20,0.0000,0
395791,275,20,0.1000,0
318067,250,22,0.0000,2
224479,231,20,0.0000,0
379570,275,20,0.0500,0
254178,211,20,0.0000,0
377611,275,20,0.1000,0
350068,275,20,0.0500,0
652189,382,20,0.0909,2
421009,275,20,0.1000,0
280059,275,20,0.0500,0
270111,275,20,0.0500,0
447147,275,20,0.0500,0
522884,275,20,0.1500,0
471052,275,20,0.1000,0
674459,275,20,0.2500,0
689967,275,20,0.3500,0
791723,275,22,0.2273,2
593856,275,20,0.1000,0
571098,275,20,0.2000,0
671283,275,20,0.2500,0
432846,275,20,0.1000,0
556919,275,20,0.1500,0
683812,275,20,0.3000,0
668718,275,20,0.3500,0
259399,275,20,0.0500,0
221413,275,20,0.0500,0
151931,89,22,0.0000,2
163562,158,20,0.0000,0
281234,275,20,0.1000,0
184925,213,20,0.0000,0
276318,275,24,0.0385,6
188653,168,22,0.0000,2
339774,275,22,0.0909,2
322936,275,20,0.1000,0
320976,275,20,0.1000,0
237276,275,20,0.0500,0
344502,275,20,0.1000,0
433112,275,20,0.1500,0
560446,275,22,0.1818,2
492485,275,20,0.2000,0
361583,275,20,0.1000,0
559821,360,24,0.1154,6
289951,275,20,0.0500,0
419562,275,20,0.1500,0
708031,275,20,0.3500,0
549436,275,20,0.2500,0
979717,275,20,0.6000,0
673100,275,20,0.3000,0
727050,275,20,0.3500,0
653872,275,20,0.3000,0
653204,282,20,0.0833,4
735223,275,22,0.2500,4
193430,213,24,0.0000,4
274699,275,22,0.0417,4
148932,105,22,0.0000,2
344771,275,20,0.1000,0
350276,275,24,0.0417,4
417702,275,20,0.0909,2
330897,275,22,0.0909,2
364203,275,22,0.0385,6
340316,275,26,0.0769,6
281867,275,24,0.0833,4
338050,275,26,0.0769,6
4111610,744,24,0.1818,24
