Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-growth factor,Rabbit-speed,Rabbit-heat Timer
15,1.00,0.00,3.00,0.10,0.02,10.00,600.00
15,1.00,0.00,3.00,0.10,0.02,10.00,600.00
15,1.00,0.00,3.00,0.10,0.02,10.00,600.00
15,1.00,0.00,3.00,0.10,0.02,10.00,600.00
15,1.00,0.00,3.00,0.10,0.02,10.00,600.00
15,1.00,0.00,3.00,0.10,0.02,10.00,600.00
15,1.00,0.00,3.00,0.10,0.02,10.00,600.00
2,1.00,0.00,3.00,0.10,0.02,10.00,600.00
2,1.00,0.00,3.00,0.10,0.02,10.00,600.00
2,1.00,0.00,3.00,0.10,0.02,10.00,600.00
