Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
16,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
14,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
12,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
8,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
7,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
6,3,0,2.1,4,13,30,25,20,3,1,2,4,13,30,25
6,3,0,2.1,4,13,30,25,22,2.91845719013205,1,1.98488284185079,4.02395798829156,13.0185178935334,30.4199879256702,25.0998963592803
6,3,0,2.1,4,13,30,25,22,2.91845719013205,1,1.98488284185079,4.02395798829156,13.0185178935334,30.4199879256702,25.0998963592803
4,3,0,2.1,4,13,30,25,22,2.91845719013205,1,1.98488284185079,4.02395798829156,13.0185178935334,30.4199879256702,25.0998963592803
4,3,0,2.1,4,13,30,25,24,2.88151027247435,1,1.96227742245278,4.05311630984407,12.9044086544195,30.2902762545911,25.0977649162717
